,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
1598,1994,159.0,161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1599,1995,170.0,172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1600,1996,186.0,193.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1601,1997,207.0,214.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.004672897196261682,1.0
1602,1998,187.0,195.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.005128205128205128,1.0
1603,1999,206.0,214.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.004672897196261682,1.0
1604,2000,201.0,210.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.004761904761904762,1.0
1605,2001,223.0,233.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.004291845493562232,1.0
1606,2002,246.0,259.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.003861003861003861,1.0
1607,2003,259.0,277.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0036101083032490976,1.0
1608,2004,266.0,283.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0035335689045936395,1.0
1609,2005,272.0,288.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.003472222222222222,1.0
1610,2006,252.0,269.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.007434944237918215,2.0
1611,2007,273.0,288.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.006944444444444444,2.0
1612,2008,271.0,287.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.006968641114982578,2.0
1613,2009,278.0,295.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.006779661016949152,2.0
1614,2010,296.0,311.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.006430868167202572,2.0
1615,2011,321.0,337.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.005934718100890208,2.0
1616,2012,342.0,359.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.005571030640668524,2.0
1617,2013,346.0,363.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.005509641873278237,2.0
1618,2014,353.0,370.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.005405405405405406,2.0
