,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
1619,1992,7199.0,11831.0,254.0,3492.0,1.0,0.0,0.0,0.0,0.0,8.452370890034655e-05,1.0
1620,1993,6239.0,8973.0,0.0,1596.0,1.0,0.0,0.0,0.0,0.0,0.00011144544745347152,1.0
1621,1994,6815.0,9152.0,315.0,1506.0,3.0,0.0,0.0,0.0,0.0,0.0003277972027972028,3.0
1622,1995,6847.0,8693.0,245.0,1005.0,2.0,0.0,0.0,0.0,0.0,0.0002300701714022777,2.0
1623,1996,7127.0,9103.0,240.0,1100.0,2.0,0.0,0.0,0.0,0.0,0.00021970778864110734,2.0
1624,1997,7091.0,9218.0,210.0,1184.0,3.0,0.0,0.0,0.0,0.0,0.0003254502061184639,3.0
1625,1998,7148.0,8521.0,138.0,528.0,4.0,0.0,0.0,0.0,0.0,0.0004694284708367562,4.0
1626,1999,6756.0,8268.0,138.0,734.0,4.0,0.0,0.0,0.0,0.0,0.0004837929366231253,4.0
1627,2000,6662.0,8513.0,374.0,1303.0,5.0,0.0,0.0,0.0,0.0,0.0005873370139786209,5.0
1628,2001,6968.0,8483.0,496.0,1118.0,7.0,0.0,0.0,0.0,0.0,0.0008251797713073205,7.0
1629,2002,6944.0,8527.0,412.0,1102.0,6.0,1.0,0.0,0.0,0.0,0.0008209217778820218,7.0
1630,2003,7205.0,10159.0,93.0,1989.0,13.0,6.0,0.0,0.0,0.0,0.0018702628211438135,19.0
1631,2004,7438.0,10304.0,347.0,2141.0,22.0,8.0,0.0,0.0,0.0,0.0029114906832298135,30.0
1632,2005,7506.0,10205.0,345.0,1953.0,22.0,54.0,0.0,0.0,0.0,0.007447329740323371,76.0
1633,2006,7979.0,9732.0,251.0,1001.0,14.0,76.0,0.0,0.0,0.0,0.009247842170160296,90.0
1634,2007,8534.0,12190.0,345.0,2765.0,21.0,91.0,0.0,0.0,0.0,0.00918785890073831,112.0
1635,2008,8557.0,10581.0,1369.0,2310.0,28.0,133.0,0.0,0.0,0.0,0.015215953123523297,161.0
1636,2009,7966.0,8779.0,3025.0,2943.0,32.0,195.0,0.0,0.0,0.0,0.025857159129741427,227.0
1637,2010,8478.0,12964.0,1100.0,4354.0,27.0,277.0,0.0,0.0,0.0,0.023449552607219995,304.0
1638,2011,8105.0,12893.0,1690.0,5252.0,30.0,368.0,0.0,0.0,0.0,0.03086946405025983,398.0
1639,2012,8287.0,11967.0,2710.0,4950.0,42.0,434.0,0.0,0.0,0.0,0.039776050806384224,476.0
1640,2013,8235.0,13275.0,2712.0,6300.0,26.0,529.0,0.0,0.0,0.0,0.04180790960451977,555.0
1641,2014,8259.0,12446.0,3730.0,6484.0,27.0,604.0,0.0,0.0,0.0,0.05069901976538647,631.0
