,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
1642,1994,1398.0,1404.0,0.0,0.0,1354.0,0.0,0.0,5.0,0.0,0.967948717948718,1359.0
1643,1995,1464.0,1470.0,0.0,0.0,1428.0,0.0,0.0,6.0,0.0,0.9755102040816327,1434.0
1644,1996,1551.0,1559.0,0.0,0.0,1510.0,0.0,0.0,6.0,0.0,0.9724182168056447,1516.0
1645,1997,1492.0,1620.0,0.0,0.0,1566.0,0.0,0.0,6.0,0.0,0.9703703703703703,1572.0
1646,1998,1518.0,1648.0,0.0,0.0,1579.0,0.0,0.0,20.0,0.0,0.9702669902912622,1599.0
1647,1999,1518.0,1653.0,0.0,0.0,1606.0,0.0,0.0,26.0,0.0,0.9872958257713249,1632.0
1648,2000,1601.0,1689.0,0.0,0.0,1646.0,0.0,0.0,20.0,0.0,0.9863824748371818,1666.0
1649,2001,1653.0,2015.0,0.0,0.0,1993.0,0.0,0.0,5.0,0.0,0.9915632754342432,1998.0
1650,2002,1905.0,2043.0,0.0,0.0,2023.0,0.0,0.0,1.0,0.0,0.990699951052374,2024.0
1651,2003,2064.0,2296.0,0.0,0.0,2280.0,0.0,0.0,0.0,0.0,0.9930313588850174,2280.0
1652,2004,2305.0,2539.0,0.0,0.0,2521.0,0.0,0.0,0.0,0.0,0.9929105947223317,2521.0
1653,2005,2619.0,2845.0,0.0,0.0,2833.0,0.0,0.0,0.0,0.0,0.9957820738137083,2833.0
1654,2006,2894.0,3269.0,0.0,0.0,3259.0,0.0,0.0,0.0,0.0,0.996940960538391,3259.0
1655,2007,3128.0,3547.0,0.0,0.0,3385.0,0.0,0.0,0.0,0.0,0.9543276007893995,3385.0
1656,2008,3504.0,3777.0,0.0,0.0,3296.0,0.0,0.0,14.0,0.0,0.8763568970082076,3310.0
1657,2009,3652.0,3992.0,0.0,0.0,3524.0,0.0,0.0,24.0,0.0,0.8887775551102205,3548.0
1658,2010,4584.0,4980.0,0.0,0.0,4931.0,0.0,0.0,18.0,0.0,0.9937751004016064,4949.0
1659,2011,5637.0,6336.0,0.0,332.0,6262.0,29.0,0.0,8.0,0.0,0.9941603535353535,6299.0
1660,2012,7016.0,7608.0,0.0,563.0,7388.0,192.0,0.0,16.0,0.0,0.998422712933754,7596.0
1661,2013,7742.0,8719.0,0.0,954.0,8338.0,356.0,0.0,17.0,0.0,0.9990824635852735,8711.0
1662,2014,8304.0,9615.0,0.0,1052.0,9195.0,392.0,0.0,19.0,0.0,0.9990639625585024,9606.0
