,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
1667,1990,205.0,211.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.35545023696682465,75.0
1668,1991,198.0,203.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.3694581280788177,75.0
1669,1992,194.0,199.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0,0.4221105527638191,84.0
1670,1993,175.423,180.423,0.0,0.0,74.0,0.423,0.0,0.0,0.0,0.4124917554857197,74.423
1671,1994,171.0,176.0,0.0,0.0,76.0,1.0,0.0,0.0,0.0,0.4375,77.0
1672,1995,170.0,175.0,0.0,0.0,76.0,1.0,0.0,0.0,0.0,0.44,77.0
1673,1996,177.0,182.0,0.0,0.0,70.0,1.0,0.0,0.0,0.0,0.3901098901098901,71.0
1674,1997,177.0,183.0,0.0,0.0,76.0,1.0,0.0,0.0,0.0,0.4207650273224044,77.0
1675,1998,184.0,191.0,0.0,0.0,77.0,1.0,0.0,0.0,0.0,0.4083769633507853,78.0
1676,1999,195.0,202.0,0.0,0.0,70.0,1.0,0.0,0.0,0.0,0.35148514851485146,71.0
1677,2000,208.0,213.0,0.0,0.0,76.0,1.0,0.0,0.0,0.0,0.3615023474178404,77.0
1678,2001,226.0,232.0,0.0,0.0,76.0,1.0,0.0,0.0,0.0,0.33189655172413796,77.0
1679,2002,235.0,241.0,0.0,0.0,97.0,1.0,0.0,0.0,0.0,0.4066390041493776,98.0
1680,2003,243.0,249.0,0.0,0.0,86.0,3.0,0.0,0.0,0.0,0.357429718875502,89.0
1681,2004,243.0,249.0,0.0,0.0,94.0,8.0,0.0,0.0,0.0,0.40963855421686746,102.0
1682,2005,240.0,245.0,0.0,0.0,99.0,10.0,0.0,0.0,0.0,0.4448979591836735,109.0
1683,2006,254.0,260.0,0.0,0.0,101.0,15.0,0.0,0.0,0.0,0.4461538461538462,116.0
1684,2007,263.862,269.41700000000003,0.0,0.0,104.45200000000001,15.759,0.0,0.0,0.0,0.44618936444248136,120.21100000000001
1685,2008,270.274,275.829,0.0,0.0,95.88,12.969000000000001,0.0,0.0,0.0,0.39462493066356324,108.84899999999999
1686,2009,268.79,275.528,0.0,0.0,92.406,15.005,0.0,0.0,0.0,0.3898369675677245,107.411
1687,2010,273.31,280.366,0.0,0.0,67.438,13.584000000000001,0.0,0.0,0.0,0.28898653902399013,81.022
1688,2011,266.92,273.843,0.0,0.0,92.50200000000001,14.526,0.0,0.0,0.0,0.3908370854832879,107.028
1689,2012,284.53,291.556,0.0,0.0,99.757,10.787,0.0,0.0,0.0,0.37915186104899234,110.54400000000001
1690,2013,284.71,292.534,0.0,0.0,90.594,21.845,0.0,0.0,0.0,0.384362159612216,112.439
1691,2014,298.46,305.41700000000003,0.0,0.0,120.68700000000001,34.488,0.0,0.0,0.0,0.5080758438462822,155.175
