,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
1692,1990,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1693,1991,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1694,1992,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1695,1993,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1696,1994,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1697,1995,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1698,1996,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1699,1997,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1700,1998,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1701,1999,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1702,2000,15.2,15.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.013157894736842106,0.2
1703,2001,15.7,15.7,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.012738853503184714,0.2
1704,2002,16.1,16.1,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.012422360248447204,0.2
1705,2003,16.25,16.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.015384615384615385,0.25
1706,2004,16.35,16.35,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.015290519877675839,0.25
1707,2005,16.85,16.85,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.014836795252225518,0.25
1708,2006,17.1,17.1,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.017543859649122806,0.3
1709,2007,17.3,17.3,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.017341040462427744,0.3
1710,2008,17.5,17.5,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.017142857142857144,0.3
1711,2009,17.55,17.55,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.01994301994301994,0.35
1712,2010,17.55,17.55,0.0,0.0,0.0,5.65,0.0,0.0,0.0,0.32193732193732194,5.65
1713,2011,17.6,17.6,0.0,0.0,0.0,5.67,0.0,0.0,0.0,0.3221590909090909,5.67
1714,2012,17.65,17.65,0.0,0.0,0.0,5.69,0.0,0.0,0.0,0.3223796033994335,5.69
1715,2013,17.65,17.65,0.0,0.0,0.0,5.69,0.0,0.0,0.0,0.3223796033994335,5.69
1716,2014,17.65,17.65,0.0,0.0,0.0,5.69,0.0,0.0,0.0,0.3223796033994335,5.69
