,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
1717,1990,461.0,467.0,0.0,0.0,385.0,0.0,0.0,0.0,0.0,0.8244111349036403,385.0
1718,1991,466.0,472.0,0.0,0.0,385.0,0.0,0.0,0.0,0.0,0.815677966101695,385.0
1719,1992,464.0,474.0,0.0,0.0,385.0,0.0,0.0,0.0,0.0,0.8122362869198312,385.0
1720,1993,450.0,460.0,0.0,0.0,365.0,0.0,0.0,0.0,0.0,0.7934782608695652,365.0
1721,1994,504.0,514.0,0.0,0.0,403.0,0.0,0.0,0.0,0.0,0.7840466926070039,403.0
1722,1995,539.102,544.0,0.0,0.0,384.481,0.0,0.0,0.0,0.0,0.706766544117647,384.481
1723,1996,580.609,591.0,0.0,0.0,365.059,0.0,0.0,0.0,0.0,0.6176971235194586,365.059
1724,1997,603.466,609.998,0.0,0.0,403.815,0.0,0.0,0.0,0.0,0.6619939737507335,403.815
1725,1998,620.311,630.988,0.0,0.0,417.92199999999997,0.0,0.0,0.0,0.0,0.6623295530184408,417.92199999999997
1726,1999,689.065,698.9910000000001,0.0,0.0,449.85,0.0,0.0,0.0,0.0,0.6435705180753399,449.85
1727,2000,675.212,687.9889999999999,0.0,0.0,414.38300000000004,0.0,0.0,0.0,0.0,0.6023105020574459,414.38300000000004
1728,2001,719.513,725.9860000000001,0.0,0.0,462.957,0.0,0.0,0.0,0.0,0.6376941153135184,462.957
1729,2002,760.175,764.99,0.0,0.0,450.19800000000004,0.0,0.0,0.0,0.0,0.5885018104811828,450.19800000000004
1730,2003,805.2139999999999,811.9910000000001,0.0,0.0,343.72900000000004,0.0,0.0,0.0,0.0,0.4233162682837618,343.72900000000004
1731,2004,809.85,815.9939999999999,0.0,0.0,367.35699999999997,0.0,0.0,0.0,0.0,0.4501957122233742,367.35699999999997
1732,2005,815.7439999999999,823.038,0.0,0.0,338.73900000000003,0.0,0.0,0.0,0.0,0.41157151917651436,338.73900000000003
1733,2006,829.895,839.9960000000001,0.0,0.0,341.255,0.0,0.0,0.0,0.0,0.40625788694231874,341.255
1734,2007,824.783,835.998,0.0,0.0,508.486,3.35,0.0,0.0,0.0,0.6122454838408704,511.836
1735,2008,760.3,769.439,0.0,0.0,495.09,4.604,0.0,0.0,0.0,0.649426400273446,499.69399999999996
1736,2009,768.2769999999999,777.327,0.0,0.0,460.19199999999995,7.211,0.0,0.0,0.0,0.6012952078082968,467.40299999999996
1737,2010,825.9010000000001,835.169,0.0,0.0,413.619,6.42,0.0,0.0,0.0,0.5029389261335132,420.03900000000004
1738,2011,792.2539999999999,801.206,0.0,0.0,456.469,4.977,0.0,0.0,0.0,0.5759392715481412,461.44599999999997
1739,2012,795.01,803.3530000000001,0.0,0.0,525.261,6.809,0.0,0.0,0.0,0.6623115865628184,532.0699999999999
1740,2013,848.304,857.5,0.0,0.0,527.3969999999999,5.348,0.0,0.0,0.0,0.6212769679300291,532.7449999999999
1741,2014,836.1,859.3,0.0,0.0,401.0,4.3,0.0,0.0,0.0,0.471662981496567,405.3
