,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
1742,1990,62234.0,54377.0,11007.0,364.0,10859.0,0.0,0.0,0.0,0.0,0.19969840189786123,10859.0
1743,1991,62388.0,57986.0,7931.0,641.0,13197.0,0.0,1.0,0.0,0.0,0.22760666367743937,13198.0
1744,1992,63351.0,57725.0,9067.0,673.0,15107.0,2.0,1.0,0.0,0.0,0.2617583369423993,15110.0
1745,1993,65592.0,61079.0,8013.0,429.0,13476.0,4.0,1.0,0.0,0.0,0.22071415707526318,13481.0
1746,1994,68716.0,65631.0,7171.0,630.0,11787.0,7.0,1.0,0.0,0.0,0.17971690207371516,11795.0
1747,1995,68947.0,64035.0,8501.0,96.0,12925.0,11.0,1.0,0.0,0.0,0.20203013976731474,12937.0
1748,1996,69961.0,69373.0,5367.0,1706.0,11860.0,11.0,1.0,0.0,0.0,0.17113286148789875,11872.0
1749,1997,73740.0,69176.0,8103.0,450.0,12242.0,17.0,1.0,0.0,0.0,0.17722909679657683,12260.0
1750,1998,76570.0,70167.0,9582.0,276.0,15051.0,23.0,1.0,0.0,0.0,0.21484458506135362,15075.0
1751,1999,77758.0,69457.0,11356.0,232.0,12780.0,49.0,1.0,0.0,0.0,0.1847186028765999,12830.0
1752,2000,79089.0,69968.0,12206.0,326.0,14660.0,78.0,2.0,0.0,0.0,0.2106677338211754,14740.0
1753,2001,81131.0,74483.0,11769.0,1810.0,13205.0,70.0,2.0,0.0,0.0,0.17825544083884914,13277.0
1754,2002,83482.0,74945.0,13464.0,1539.0,10776.0,64.0,2.0,0.0,0.0,0.14466608846487425,10842.0
1755,2003,85205.0,84312.0,11882.0,7030.0,9591.0,93.0,2.0,0.0,0.0,0.1148828162064712,9686.0
1756,2004,87020.0,85831.0,11667.0,6797.0,15070.0,120.0,2.0,0.0,0.0,0.17699898638021228,15192.0
1757,2005,84826.0,70572.0,17948.0,933.0,13784.0,170.0,3.0,0.0,0.0,0.19776965368701468,13957.0
1758,2006,90002.0,82301.0,14118.0,2717.0,11494.0,156.0,3.0,0.0,0.0,0.14159001713223412,11653.0
1759,2007,90332.0,81247.0,15419.0,2862.0,14177.0,188.0,4.0,0.0,0.0,0.17685576082809212,14369.0
1760,2008,87147.0,77435.0,16107.0,3335.0,17112.0,261.0,4.0,0.0,0.0,0.22440756763737327,17377.0
1761,2009,81178.0,72062.0,15460.0,3375.0,12686.0,277.0,4.0,0.0,0.0,0.17994227193250256,12967.0
1762,2010,87552.0,80679.0,15719.0,5218.0,12922.0,294.0,10.0,0.0,0.0,0.16393361345579394,13226.0
1763,2011,84101.0,73506.0,17656.0,3804.0,12445.0,481.0,10.0,0.0,0.0,0.17598563382581014,12936.0
1764,2012,84937.0,70416.0,19089.0,1645.0,16859.0,494.0,11.0,0.0,0.0,0.24659168370824813,17364.0
1765,2013,83879.0,71263.0,17591.0,1876.0,12838.0,774.0,12.0,0.0,0.0,0.1911791532772968,13624.0
1766,2014,83180.0,68093.0,21622.0,3655.0,13397.0,1107.0,8.0,0.0,0.0,0.21312029136621974,14512.0
