,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
1767,1990,350771.0,420751.0,6674.0,52112.0,57418.0,0.0,0.0,0.0,503.0,0.1376609918930674,57921.0
1768,1991,376586.0,455555.0,5516.0,58409.0,61545.0,0.0,0.0,0.0,517.0,0.13623382467539594,62062.0
1769,1992,384329.0,463639.0,4737.0,58533.0,72584.0,0.0,0.0,0.0,516.0,0.15766577013581687,73100.0
1770,1993,386068.0,472707.0,3663.0,65093.0,67948.0,2.0,0.0,0.0,494.0,0.14479159394720198,68444.0
1771,1994,389235.0,476868.0,3718.0,66886.0,81069.0,5.0,1.0,0.0,501.0,0.17106620700067943,81576.0
1772,1995,398529.0,494274.0,2860.0,72701.0,76192.0,5.0,1.0,0.0,507.0,0.15518720385858856,76705.0
1773,1996,416206.0,513398.0,3617.0,72428.0,70282.0,7.0,1.0,0.0,491.0,0.13786769718619862,70781.0
1774,1997,411423.0,504770.0,4238.0,69634.0,67559.0,11.0,2.0,0.0,510.0,0.13487727083622245,68082.0
1775,1998,424647.0,511276.0,4590.0,62152.0,66103.0,19.0,2.0,0.0,522.0,0.13035229504220813,66646.0
1776,1999,433032.0,525806.0,4965.0,68108.0,77083.0,37.0,2.0,0.0,515.0,0.14765331700284895,77637.0
1777,2000,440025.0,539954.0,3695.0,73174.0,71133.0,48.0,5.0,0.0,507.0,0.13277612537364294,71693.0
1778,2001,451738.0,549530.0,4471.0,72861.0,78511.0,131.0,6.0,0.0,485.0,0.1440012374210689,79133.0
1779,2002,450307.0,559064.0,3705.0,80739.0,65831.0,265.0,7.0,0.0,494.0,0.11912231873273901,66597.0
1780,2003,468498.0,566839.0,6959.0,73373.0,64279.0,388.0,8.0,0.0,490.0,0.11496209682114322,65165.0
1781,2004,480092.0,574055.0,6571.0,68477.0,64899.0,595.0,9.0,0.0,470.0,0.11492452813754779,65973.0
1782,2005,483067.0,576064.0,8062.0,68390.0,56332.0,962.0,13.0,0.0,481.0,0.10031524275080547,57788.0
1783,2006,478387.0,574874.0,8522.0,71863.0,61742.0,2182.0,16.0,0.0,464.0,0.11203150603436579,64404.0
1784,2007,479474.0,569426.0,10782.0,67595.0,63260.0,4070.0,27.0,0.0,465.0,0.11910590664985442,67822.0
1785,2008,493679.0,573516.0,10748.0,58736.0,68368.0,5694.0,42.0,0.0,465.0,0.1300207840757712,74569.0
1786,2009,479251.0,535635.0,18517.0,44451.0,61969.0,7912.0,174.0,0.0,448.0,0.13162508051191577,70503.0
1787,2010,506802.0,569097.0,19475.0,50188.0,67525.0,9945.0,620.0,0.0,476.0,0.13805379399293968,78566.0
1788,2011,473096.0,561448.0,9501.0,65914.0,49865.0,12051.0,2078.0,0.0,477.0,0.11482986848292273,64471.0
1789,2012,489962.0,565704.0,12213.0,56734.0,63594.0,14914.0,4016.0,0.0,458.0,0.14668802059027336,82982.0
1790,2013,492946.0,572308.0,11687.0,60148.0,75867.0,16034.0,4735.0,0.0,414.0,0.16957652173305282,97050.0
1791,2014,464250.0,562776.0,7873.0,75063.0,68626.0,17249.0,5909.0,0.0,481.0,0.1639462237195616,92265.0
