,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
1792,1990,337.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1793,1991,396.0,405.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1794,1992,435.0,445.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1795,1993,434.0,446.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1796,1994,434.0,446.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,0.21524663677130046,96.0
1797,1995,438.0,450.0,0.0,0.0,130.0,0.0,0.0,0.0,0.0,0.28888888888888886,130.0
1798,1996,438.0,450.0,0.0,0.0,190.0,0.0,0.0,0.0,0.0,0.4222222222222222,190.0
1799,1997,438.0,450.0,0.0,0.0,220.0,0.0,0.0,0.0,0.0,0.4888888888888889,220.0
1800,1998,438.0,453.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.11699779249448124,53.0
1801,1999,425.0,430.0,0.0,0.0,270.0,0.0,0.0,0.0,0.0,0.627906976744186,270.0
1802,2000,425.0,430.0,0.0,0.0,270.0,0.0,0.0,0.0,0.0,0.627906976744186,270.0
1803,2001,585.0,594.0,0.0,0.0,369.0,0.0,0.0,0.0,0.0,0.6212121212121212,369.0
1804,2002,606.0,616.0,0.0,0.0,466.0,0.0,0.0,0.0,0.0,0.7564935064935064,466.0
1805,2003,631.0,641.0,0.0,0.0,281.0,0.0,0.0,0.0,0.0,0.43837753510140404,281.0
1806,2004,655.0,665.0,0.0,0.0,345.0,0.0,0.0,0.0,0.0,0.518796992481203,345.0
1807,2005,681.0,691.0,0.0,0.0,411.0,0.0,0.0,0.0,0.0,0.5947901591895803,411.0
1808,2006,706.0,716.0,0.0,0.0,526.0,0.0,0.0,0.0,0.0,0.7346368715083799,526.0
1809,2007,760.0,771.0,0.0,0.0,518.0,0.0,0.0,0.0,0.0,0.6718547341115434,518.0
1810,2008,806.0,815.0,0.0,0.0,530.0,0.0,0.0,0.0,0.0,0.6503067484662577,530.0
1811,2009,835.0,845.0,0.0,0.0,510.0,0.0,0.0,0.0,0.0,0.6035502958579881,510.0
1812,2010,860.0,872.0,0.0,0.0,469.0,0.0,1.0,0.0,0.0,0.5389908256880734,470.0
1813,2011,863.0,873.0,0.0,0.0,469.0,0.0,31.0,0.0,0.0,0.572737686139748,500.0
1814,2012,859.0,874.0,0.0,0.0,556.0,0.0,52.0,0.0,0.0,0.6956521739130435,608.0
1815,2013,866.0,883.0,0.0,0.0,490.0,0.0,44.0,0.0,0.0,0.6047565118912798,534.0
1816,2014,890.0,910.0,0.0,0.0,500.0,0.0,51.0,0.0,0.0,0.6054945054945055,551.0
