,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
1817,1990,281.0,291.0,0.0,0.0,54.13399999999999,0.0,0.0,0.0,0.0,0.18602749140893468,54.13399999999999
1818,1991,292.0,302.0,0.0,0.0,54.211999999999996,0.0,0.0,0.0,0.0,0.17950993377483443,54.211999999999996
1819,1992,307.0,317.0,0.0,0.0,91.0,0.0,0.0,0.0,0.0,0.2870662460567823,91.0
1820,1993,313.0,323.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,0.29411764705882354,95.0
1821,1994,323.0,335.0,0.0,0.0,97.0,0.0,0.0,0.0,0.0,0.28955223880597014,97.0
1822,1995,334.0,349.0,0.0,0.0,126.0,0.0,0.0,0.0,0.0,0.36103151862464183,126.0
1823,1996,319.0,335.0,0.0,0.0,118.0,0.0,0.0,0.0,0.0,0.3522388059701492,118.0
1824,1997,328.0,344.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.35174418604651164,121.0
1825,1998,361.57599999999996,378.57599999999996,0.0,0.0,177.576,0.0,0.0,0.0,0.0,0.4690630150881197,177.576
1826,1999,347.0,365.0,0.0,0.0,126.059,0.0,0.0,0.0,0.0,0.3453671232876712,126.059
1827,2000,417.0,435.0,0.0,0.0,145.0,0.0,0.0,0.0,0.0,0.3333333333333333,145.0
1828,2001,546.0,566.0,0.0,0.0,136.0,0.0,0.0,0.0,0.0,0.24028268551236748,136.0
1829,2002,562.0,582.0,0.0,0.0,132.0,0.0,0.0,0.0,0.0,0.2268041237113402,132.0
1830,2003,577.0,602.0,0.0,0.0,156.55100000000002,0.0,0.0,0.0,0.0,0.26005149501661134,156.55100000000002
1831,2004,618.0,643.0,0.0,0.0,180.16299999999998,0.0,0.0,0.0,0.0,0.28019129082426125,180.16299999999998
1832,2005,607.0,631.0,0.0,0.0,179.91299999999998,0.0,0.0,0.0,0.0,0.2851236133122028,179.91299999999998
1833,2006,634.0,657.0,0.0,0.0,200.11,0.0,0.0,0.0,0.0,0.30458143074581434,200.11
1834,2007,663.0,687.0,0.0,0.0,222.747,0.0,0.0,0.0,0.0,0.324231441048035,222.747
1835,2008,691.102,719.747,0.0,0.0,210.803,0.49200000000000005,3.13,0.0,0.0,0.29791718478854373,214.42499999999998
1836,2009,706.296,735.565,0.0,0.0,210.25900000000001,0.43700000000000006,3.404,0.0,0.0,0.29106877026503436,214.10000000000002
1837,2010,785.291,817.453,0.0,0.0,276.205,0.0,3.4,0.0,0.0,0.3420441297542488,279.60499999999996
1838,2011,730.9060000000001,760.817,0.0,0.0,224.769,0.0,3.367,0.0,0.0,0.2998566015217851,228.136
1839,2012,735.1489999999999,767.7280000000001,0.0,0.0,209.155,0.0,6.0,0.0,0.0,0.28024899443552925,215.155
1840,2013,710.33,744.15,0.0,0.0,195.12,0.0,7.0,0.0,0.0,0.27161190620170667,202.12
1841,2014,685.93,721.03,0.0,0.0,218.69,0.0,10.0,0.0,0.0,0.3171712688792422,228.69
