,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
1842,1990,1003.0,1008.0,0.0,0.0,705.0,0.0,0.0,0.0,0.0,0.6994047619047619,705.0
1843,1991,1014.0,1019.0,0.0,0.0,707.0,0.0,0.0,0.0,0.0,0.6938174681059862,707.0
1844,1992,1038.0,1043.0,0.0,0.0,712.0,0.0,0.0,0.0,0.0,0.6826462128475551,712.0
1845,1993,1083.0,1089.0,0.0,0.0,710.0,0.0,0.0,0.0,0.0,0.6519742883379247,710.0
1846,1994,1031.0,1066.0,0.0,0.0,746.0,0.0,0.0,0.0,0.0,0.699812382739212,746.0
1847,1995,1107.0,1139.0,0.0,0.0,791.0,0.0,0.0,0.0,0.0,0.694468832309043,791.0
1848,1996,1179.0,1214.0,0.0,0.0,770.0,0.0,0.0,0.0,0.0,0.6342668863261944,770.0
1849,1997,1221.0,1256.0,0.0,0.0,809.0,0.0,0.0,0.0,0.0,0.6441082802547771,809.0
1850,1998,1301.0,1343.0,0.0,0.0,812.0,0.0,0.0,0.0,0.0,0.6046165301563663,812.0
1851,1999,1290.0,1328.0,0.0,0.0,831.0,0.0,0.0,0.0,0.0,0.6257530120481928,831.0
1852,2000,1268.0,1315.0,0.0,0.0,803.0,0.0,0.0,0.0,0.0,0.6106463878326996,803.0
1853,2001,1357.0,1407.0,0.0,0.0,878.0,0.0,0.0,0.0,0.0,0.6240227434257285,878.0
1854,2002,1429.0,1482.0,0.0,0.0,923.0,0.0,0.0,0.0,0.0,0.6228070175438597,923.0
1855,2003,1480.0,1535.0,0.0,0.0,900.0,0.0,0.0,0.0,0.0,0.5863192182410424,900.0
1856,2004,1485.0,1540.0,0.0,0.0,893.0,0.0,0.0,0.0,0.0,0.5798701298701299,893.0
1857,2005,1510.0,1574.0,0.0,0.0,812.0,0.0,0.0,0.0,0.0,0.5158831003811944,812.0
1858,2006,1593.0,1665.0,0.0,0.0,945.0,0.0,0.0,0.0,0.0,0.5675675675675675,945.0
1859,2007,1637.0,1734.0,0.0,0.0,801.0,0.0,0.0,0.0,0.0,0.4619377162629758,801.0
1860,2008,1730.0,1822.0,0.0,0.0,894.0,0.0,0.0,0.0,0.0,0.49066959385290887,894.0
1861,2009,1765.0,1835.0,0.0,0.0,944.0,0.0,0.0,0.0,0.0,0.514441416893733,944.0
1862,2010,1862.0,1932.0,0.0,0.0,907.0,0.0,0.0,0.0,0.0,0.4694616977225673,907.0
1863,2011,1966.0,2033.0,0.0,0.0,840.0,0.0,0.0,0.0,0.0,0.4131824889326119,840.0
1864,2012,2076.0,2151.0,0.0,0.0,908.0,0.0,3.0,0.0,0.0,0.4235239423523942,911.0
1865,2013,2369.0,2264.0,184.0,0.0,932.0,0.0,2.0,0.0,0.0,0.4125441696113074,934.0
1866,2014,2672.0,2367.0,388.0,0.0,795.0,0.0,2.0,0.0,0.0,0.33671313899450783,797.0
