,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
1867,1990,66.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1868,1991,66.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1869,1992,67.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1870,1993,69.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1871,1994,69.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1872,1995,70.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1873,1996,72.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1874,1997,76.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1875,1998,82.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1876,1999,89.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1877,2000,85.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1878,2001,142.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1879,2002,147.2,151.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1880,2003,163.7,168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1881,2004,180.4,185.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1882,2005,198.0,203.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1883,2006,210.5,216.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1884,2007,223.0,229.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1885,2008,236.0,242.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1886,2009,236.0,242.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1887,2010,239.1,245.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1888,2011,251.3,255.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1889,2012,245.1,266.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1890,2013,248.8,260.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1891,2014,270.3,260.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
