,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
1892,1992,11796.0,11154.0,1203.0,0.0,6502.0,0.0,0.0,0.0,0.0,0.5829298906221984,6502.0
1893,1993,10886.0,10455.0,854.0,0.0,6602.0,0.0,0.0,0.0,0.0,0.6314681970349115,6602.0
1894,1994,11260.0,11024.0,504.0,0.0,6772.0,0.0,0.0,0.0,0.0,0.6142960812772134,6772.0
1895,1995,8512.0,8154.0,699.0,0.0,5203.0,0.0,0.0,0.0,0.0,0.6380917341182242,5203.0
1896,1996,7155.0,7187.0,203.0,126.0,6000.0,0.0,0.0,0.0,0.0,0.8348406845693613,6000.0
1897,1997,7256.0,7163.0,651.0,465.0,6047.0,0.0,0.0,0.0,0.0,0.8441993578109731,6047.0
1898,1998,7434.0,7671.0,698.0,796.0,6372.0,0.0,0.0,0.0,0.0,0.8306609307782558,6372.0
1899,1999,7605.0,7683.0,442.0,384.0,6442.0,0.0,0.0,0.0,0.0,0.8384745542105948,6442.0
1900,2000,7535.0,7424.0,442.0,198.0,5860.0,0.0,0.0,0.0,0.0,0.7893318965517241,5860.0
1901,2001,7029.0,6937.0,792.0,527.0,5542.0,0.0,0.0,0.0,0.0,0.7989044255441834,5542.0
1902,2002,7599.0,7257.0,687.0,158.0,6767.0,0.0,0.0,0.0,0.0,0.9324789858068072,6767.0
1903,2003,7878.0,7160.0,1071.0,159.0,6526.0,0.0,0.0,0.0,0.0,0.9114525139664804,6526.0
1904,2004,7964.0,6924.0,1237.0,0.0,6049.0,0.0,0.0,0.0,0.0,0.873627960716349,6049.0
1905,2005,8316.0,7267.0,1378.0,122.0,6236.0,0.0,0.0,0.0,0.0,0.858125774047062,6236.0
1906,2006,8091.0,7599.0,778.0,96.0,5390.0,0.0,0.0,0.0,0.0,0.7093038557704961,5390.0
1907,2007,8291.0,8570.0,433.0,625.0,6816.0,0.0,0.0,0.0,0.0,0.7953325554259043,6816.0
1908,2008,8229.0,8453.0,558.0,675.0,7162.0,0.0,0.0,0.0,0.0,0.8472731574588903,7162.0
1909,2009,7551.0,8408.0,255.0,749.0,7417.0,0.0,0.0,0.0,0.0,0.8821360608943863,7417.0
1910,2010,8678.0,10058.0,222.0,1524.0,9375.0,0.0,0.0,0.0,0.0,0.9320938556373036,9375.0
1911,2011,9557.0,10104.0,471.0,931.0,7892.0,0.0,0.0,0.0,0.0,0.781076801266825,7892.0
1912,2012,9559.0,9698.0,615.0,528.0,7221.0,0.0,0.0,0.0,0.0,0.7445865126830274,7221.0
1913,2013,9894.0,10059.0,484.0,450.0,8271.0,0.0,0.0,0.0,0.0,0.8222487324783776,8271.0
1914,2014,10402.0,10370.0,794.0,545.0,8334.0,0.0,0.0,0.0,0.0,0.8036644165863066,8334.0
