,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
1916,1991,494839.0,539634.0,30416.0,30991.0,18699.0,215.0,1.0,0.0,0.0,0.03505153492922981,18915.0
1917,1992,488332.0,537470.0,28418.0,33738.0,21195.0,291.0,4.0,0.0,0.0,0.0399836269931345,21490.0
1918,1993,483965.0,526276.0,33628.0,32758.0,21667.0,674.0,3.0,0.0,0.0,0.04245680973481595,22344.0
1919,1994,487991.0,529160.0,35908.0,33571.0,23885.0,1428.0,7.0,0.0,0.0,0.04784942172499811,25320.0
1920,1995,497852.0,537284.0,39735.0,34911.0,26250.0,1712.0,7.0,0.0,0.0,0.0520562681933577,27969.0
1921,1996,505236.0,555372.0,37404.0,42670.0,26638.0,2078.0,12.0,0.0,0.0,0.05172749076294808,28728.0
1922,1997,504779.0,551554.0,38012.0,40361.0,20900.0,3034.0,18.0,0.0,0.0,0.04342639161351382,23952.0
1923,1998,511608.0,556393.0,38315.0,38953.0,21234.0,4593.0,35.0,0.0,0.0,0.046481533736046285,25862.0
1924,1999,513919.0,556300.0,40598.0,39558.0,23402.0,5528.0,30.0,0.0,0.0,0.05205824195577925,28960.0
1925,2000,535503.0,576543.0,45134.0,42077.0,25962.0,9352.0,60.0,0.0,0.0,0.06135535424070711,35374.0
1926,2001,545796.0,586406.0,45779.0,42122.0,27253.0,10456.0,116.0,0.0,0.0,0.0645030917146141,37825.0
1927,2002,552967.0,586694.0,48370.0,38372.0,27864.0,15856.0,188.0,0.0,0.0,0.07483969496875714,43908.0
1928,2003,558430.0,608779.0,49110.0,52379.0,22897.0,18713.0,313.0,0.0,0.0,0.06886407054119804,41923.0
1929,2004,566296.0,617469.0,48187.0,50808.0,26460.0,25509.0,557.0,0.0,0.0,0.08506661872903741,52526.0
1930,2005,568656.0,622579.0,56861.0,61427.0,26417.0,27229.0,1282.0,0.0,0.0,0.08822655438105044,54928.0
1931,2006,572843.0,639492.0,48464.0,65441.0,26768.0,30710.0,2220.0,0.0,0.0,0.09335222332726602,59698.0
1932,2007,574749.0,640578.0,45953.0,62508.0,28084.0,39713.0,3075.0,0.0,0.0,0.11063758043516948,70872.0
1933,2008,572921.0,640406.0,41670.0,61770.0,26469.0,40574.0,4420.0,18.0,0.0,0.11161825466969391,71481.0
1934,2009,538669.0,595617.0,41859.0,54132.0,24682.0,38647.0,6584.0,19.0,0.0,0.11741102084057373,69932.0
1935,2010,571258.0,632983.0,42962.0,57917.0,27353.0,37793.0,11729.0,28.0,0.0,0.12149299428262686,76903.0
1936,2011,565359.0,613068.0,51003.0,54768.0,23511.0,48883.0,19599.0,19.0,0.0,0.15008449307417773,92012.0
1937,2012,564077.0,629812.0,46268.0,66810.0,27849.0,50670.0,26380.0,25.0,0.0,0.16659574603214927,104924.0
1938,2013,561805.0,638729.0,39222.0,71415.0,28782.0,51708.0,31010.0,80.0,0.0,0.17469067476190997,111580.0
1939,2014,550064.0,627795.0,40435.0,74320.0,25444.0,57357.0,36056.0,98.0,0.0,0.18948064256644287,118955.0
