,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
1941,1990,5101.0,5816.0,4.0,195.0,5801.0,0.0,0.0,0.0,0.0,0.9974209078404401,5801.0
1942,1991,5386.0,6126.0,3.0,215.0,6112.0,0.0,0.0,0.0,0.0,0.9977146588312112,6112.0
1943,1992,5879.0,6624.0,4.0,218.0,6602.0,0.0,0.0,0.0,0.0,0.9966787439613527,6602.0
1944,1993,5527.0,6280.0,4.0,222.0,6261.0,0.0,0.0,0.0,0.0,0.9969745222929937,6261.0
1945,1994,5601.0,6356.0,4.0,225.0,6336.0,0.0,0.0,0.0,0.0,0.9968533668974198,6336.0
1946,1995,5419.0,6188.0,4.0,228.0,6165.0,0.0,0.0,0.0,0.0,0.9962831286360698,6165.0
1947,1996,5905.0,6631.0,54.0,230.0,6625.0,0.0,0.0,0.0,0.0,0.9990951591011914,6625.0
1948,1997,7073.0,6904.0,660.0,422.0,6865.0,0.0,0.0,0.0,0.0,0.994351100811124,6865.0
1949,1998,5150.0,5017.0,573.0,422.0,3830.0,0.0,0.0,0.0,0.0,0.7634044249551525,3830.0
1950,1999,6513.0,5929.0,1032.0,422.0,5169.0,0.0,0.0,0.0,0.0,0.8718164951931185,5169.0
1951,2000,7676.0,7224.0,864.0,392.0,6606.0,0.0,0.0,0.0,0.0,0.9144518272425249,6606.0
1952,2001,7953.0,7864.0,462.0,302.0,6608.0,0.0,0.0,0.0,0.0,0.8402848423194303,6608.0
1953,2002,7790.0,7301.0,1146.0,612.0,5036.0,0.0,0.0,0.0,0.0,0.6897685248596083,5036.0
1954,2003,6207.0,5905.0,940.0,604.0,3885.0,0.0,0.0,0.0,0.0,0.6579170194750211,3885.0
1955,2004,5796.0,6044.0,878.0,665.0,5281.0,0.0,0.0,0.0,0.0,0.8737590999338186,5281.0
1956,2005,6935.0,6793.0,815.0,639.0,5629.0,0.0,0.0,0.0,0.0,0.8286471367584278,5629.0
1957,2006,8305.0,8435.0,629.0,754.0,5619.0,0.0,0.0,0.0,0.0,0.6661529342027267,5619.0
1958,2007,7167.0,6984.0,435.0,246.0,3727.0,0.0,0.0,0.0,0.0,0.5336483390607102,3727.0
1959,2008,8061.0,8366.0,275.0,538.0,6196.0,0.0,0.0,0.0,0.0,0.7406167822137222,6196.0
1960,2009,8404.0,8964.0,198.0,752.0,6877.0,0.0,0.0,0.0,0.0,0.7671798304328424,6877.0
1961,2010,9237.0,10167.0,106.0,1036.0,6996.0,0.0,0.0,0.0,0.0,0.6881085866037179,6996.0
1962,2011,10590.0,11366.0,81.0,691.0,7561.0,0.0,0.0,0.0,0.0,0.6652296322364948,7561.0
1963,2012,11485.0,12204.0,128.0,667.0,8071.0,0.0,0.0,0.0,0.0,0.661340544083907,8071.0
1964,2013,12367.0,13047.0,27.0,530.0,8233.0,0.0,0.0,0.0,0.0,0.6310262895684832,8233.0
1965,2014,12492.0,13139.0,51.0,522.0,8387.0,0.0,0.0,0.0,0.0,0.6383286399269351,8387.0
