,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
1966,1990,78.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1967,1991,90.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1968,1992,97.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1969,1993,101.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970,1994,104.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1971,1995,106.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1972,1996,108.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973,1997,109.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1974,1998,114.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1975,1999,118.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1976,2000,122.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1977,2001,123.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1978,2002,126.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979,2003,131.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980,2004,133.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981,2005,142.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982,2006,148.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983,2007,152.0,155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984,2008,163.0,166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985,2009,171.0,174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986,2010,173.0,177.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987,2011,168.0,171.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988,2012,172.0,176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989,2013,185.0,189.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990,2014,194.0,198.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
