,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
1991,1990,32532.0,35003.0,1330.0,619.0,1997.0,2.0,0.0,0.0,0.0,0.05710939062366083,1999.0
1992,1991,33400.0,35815.0,1498.0,854.0,3171.0,2.0,0.0,0.0,0.0,0.08859416445623342,3173.0
1993,1992,34700.0,37411.0,967.0,362.0,2389.0,8.0,0.0,0.0,0.0,0.06407206436609553,2397.0
1994,1993,35631.0,38396.0,1093.0,284.0,2541.0,47.0,0.0,0.0,0.0,0.06740285446400666,2588.0
1995,1994,37414.0,40624.0,816.0,434.0,2842.0,37.0,0.0,0.0,0.0,0.07086943678613628,2879.0
1996,1995,38817.0,41552.0,1390.0,593.0,3782.0,34.0,0.0,0.0,0.0,0.09183673469387756,3816.0
1997,1996,40424.0,42567.0,2664.0,1314.0,4504.0,38.0,0.0,0.0,0.0,0.10670237507928677,4542.0
1998,1997,42146.0,43506.0,3003.0,709.0,4096.0,36.0,0.0,0.0,0.0,0.09497540569116904,4132.0
1999,1998,44152.0,46329.0,2500.0,890.0,3866.0,70.0,0.0,0.0,0.0,0.08495758596127695,3936.0
2000,1999,45619.0,49632.0,1811.0,1647.0,4829.0,162.0,0.0,0.0,0.0,0.10056012250161186,4991.0
2001,2000,49255.0,53843.0,1729.0,1740.0,4111.0,451.0,0.0,0.0,0.0,0.08472781977230096,4562.0
2002,2001,51333.0,53704.0,3562.0,1062.0,2725.0,756.0,0.0,0.0,0.0,0.06481826307165202,3481.0
2003,2002,52558.0,54608.0,4602.0,1706.0,3463.0,651.0,0.0,0.0,0.0,0.0753369469674773,4114.0
2004,2003,55623.0,58471.0,4169.0,2076.0,5332.0,1021.0,0.0,0.0,0.0,0.10865215234902773,6353.0
2005,2004,56951.0,59346.0,4854.0,2034.0,5205.0,1121.0,1.0,0.0,0.0,0.10661207158022444,6327.0
2006,2005,58679.0,60020.0,5616.0,1836.0,5610.0,1266.0,1.0,0.0,0.0,0.11457847384205265,6877.0
2007,2006,59878.0,60789.0,6140.0,1938.0,6475.0,1699.0,1.0,0.0,0.0,0.1344815673888368,8175.0
2008,2007,62321.0,63496.0,6412.0,2057.0,3376.0,1818.0,1.0,0.0,0.0,0.08181617739700138,5195.0
2009,2008,63824.0,63749.0,7575.0,1962.0,4149.0,2242.0,5.0,0.0,0.0,0.1003309855840876,6396.0
2010,2009,60053.0,61365.0,7600.0,3233.0,5645.0,2543.0,50.0,0.0,0.0,0.13424590564654118,8238.0
2011,2010,59059.0,57392.0,8517.0,2811.0,7485.0,2714.0,158.0,0.0,0.0,0.18046069138555895,10357.0
2012,2011,56765.0,59436.0,7180.0,3948.0,4275.0,3315.0,610.0,0.0,0.0,0.13796352379029544,8200.0
2013,2012,55170.0,60959.0,5954.0,4169.0,4591.0,3850.0,1694.0,0.0,0.0,0.16625928903033185,10135.0
2014,2013,54393.0,57152.0,5788.0,3901.0,6384.0,4139.0,3648.0,0.0,0.0,0.24795282754759237,14171.0
2015,2014,55334.0,50474.0,9461.0,642.0,4607.0,3689.0,3792.0,0.0,0.0,0.23948963822958355,12088.0
