,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
2041,1990,53.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2042,1991,58.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2043,1992,61.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2044,1993,63.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2045,1994,78.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2046,1995,84.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2047,1996,91.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2048,1997,99.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2049,1998,102.78,107.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2050,1999,113.26,116.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2051,2000,127.79,130.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2052,2001,138.73,142.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2053,2002,144.74,149.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2054,2003,152.82,159.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2055,2004,130.22,135.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2056,2005,140.92,147.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2057,2006,160.83,167.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2058,2007,172.16,175.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2059,2008,181.69,188.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2060,2009,195.4,203.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2061,2010,201.38,208.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2062,2011,196.78,204.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2063,2012,192.96,199.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2064,2013,190.6,196.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2065,2014,194.0,199.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
