,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
2066,1990,705.0,762.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.01968503937007874,15.0
2067,1991,782.0,839.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.017878426698450536,15.0
2068,1992,863.0,916.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.016375545851528384,15.0
2069,1993,908.0,975.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.015384615384615385,15.0
2070,1994,958.0,1027.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.014605647517039922,15.0
2071,1995,1008.0,1078.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.013914656771799629,15.0
2072,1996,1071.0,1143.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.013123359580052493,15.0
2073,1997,1154.0,1226.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.012234910277324634,15.0
2074,1998,1158.0,1230.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.012195121951219513,15.0
2075,1999,1161.0,1233.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.012165450121654502,15.0
2076,2000,1160.0,1235.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.012145748987854251,15.0
2077,2001,1165.0,1240.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.012096774193548387,15.0
2078,2002,1260.0,1330.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.011278195488721804,15.0
2079,2003,1345.0,1420.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.01056338028169014,15.0
2080,2004,1439.0,1473.0,0.0,0.0,13.0,0.0,0.0,46.0,0.0,0.04005431093007468,59.0
2081,2005,1501.0,1573.0,0.0,0.0,13.0,47.0,3.0,46.0,0.0,0.06929434202161475,109.0
2082,2006,1531.0,1605.0,0.0,0.0,13.0,48.0,3.0,47.0,0.0,0.0691588785046729,111.0
2083,2007,1610.0,1691.0,0.0,0.0,14.0,51.0,3.0,49.0,0.0,0.06918982850384388,117.0
2084,2008,1613.0,1694.0,0.0,0.0,14.0,51.0,3.0,49.0,0.0,0.0690672963400236,117.0
2085,2009,1628.0,1709.0,0.0,0.0,14.0,51.0,40.0,50.0,0.0,0.09069631363370392,155.0
2086,2010,1730.0,1809.0,0.0,0.0,14.0,54.0,55.0,52.0,0.0,0.09673852957435047,175.0
2087,2011,1692.0,1767.0,0.0,0.0,14.0,53.0,94.0,51.0,0.0,0.11997736276174306,212.0
2088,2012,1726.0,1817.0,0.0,0.0,14.0,52.0,91.0,50.0,0.0,0.11392405063291139,207.0
2089,2013,1729.0,1818.0,0.0,0.0,19.0,57.0,99.0,81.0,0.0,0.1408140814081408,256.0
2090,2014,1734.0,1809.0,0.0,0.0,22.0,54.0,95.0,75.0,0.0,0.13598673300165837,246.0
