,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
2091,1990,1286.4,1370.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2092,1991,1393.5,1486.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2093,1992,1416.3,1502.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2094,1993,1579.3,1668.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2095,1994,1668.9,1758.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2096,1995,1618.7,1694.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2097,1996,1735.0,1811.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2098,1997,1745.5,1833.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2099,1998,1766.0,1857.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2100,1999,1814.1,1903.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2101,2000,1849.8,1941.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2102,2001,1849.5,1947.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2103,2002,1633.4,1719.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2104,2003,1683.9,1777.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2105,2004,1775.0,1877.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2106,2005,1793.7,1897.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2107,2006,1789.4,1891.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2108,2007,1773.9,1879.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2109,2008,1773.2,1878.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2110,2009,1762.9,1867.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2111,2010,1769.4,1882.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2112,2011,1746.0,1858.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2113,2012,1690.0,1799.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2114,2013,1650.2,1736.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2115,2014,1663.0,1750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
