,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
2116,1990,2319.0,2330.0,0.0,0.0,2147.0,0.0,0.0,0.0,0.0,0.9214592274678112,2147.0
2117,1991,2481.0,2493.0,0.0,0.0,2147.0,0.0,0.0,0.0,0.0,0.8612113918973124,2147.0
2118,1992,2712.0,2802.0,35.0,89.0,2113.0,0.0,0.0,0.0,0.0,0.7541042112776588,2113.0
2119,1993,2941.0,3031.0,11.0,90.0,1922.0,0.0,0.0,0.0,0.0,0.6341141537446388,1922.0
2120,1994,3154.0,3154.0,42.0,31.0,2042.0,0.0,0.0,0.0,0.0,0.647431832593532,2042.0
2121,1995,3433.0,3413.0,65.0,30.0,1904.0,0.0,0.0,0.0,0.0,0.5578669791971872,1904.0
2122,1996,3655.0,3696.0,20.0,43.0,2300.0,0.0,0.0,0.0,0.0,0.6222943722943723,2300.0
2123,1997,4021.0,4132.0,18.0,106.0,2103.0,0.0,0.0,0.0,0.0,0.5089545014520813,2103.0
2124,1998,4393.0,4456.0,23.0,61.0,1615.0,0.0,0.0,0.0,0.0,0.3624326750448833,1615.0
2125,1999,4773.0,5186.0,211.0,465.0,2082.0,0.0,0.0,0.0,0.0,0.40146548399537213,2082.0
2126,2000,5313.0,6048.0,123.0,827.0,2286.0,0.0,0.0,0.0,0.0,0.37797619047619047,2286.0
2127,2001,5524.0,5856.0,95.0,336.0,1927.0,0.0,0.0,0.0,0.0,0.3290642076502732,1927.0
2128,2002,5709.0,6191.0,55.0,440.0,1702.0,0.0,0.0,0.0,0.0,0.27491519948312065,1702.0
2129,2003,6065.0,6561.0,31.0,428.0,2505.0,0.0,0.0,0.0,0.0,0.3818015546410608,2505.0
2130,2004,7018.0,7456.0,41.0,464.0,3784.0,0.0,0.0,0.0,0.0,0.5075107296137339,3784.0
2131,2005,7487.0,7822.0,23.0,335.0,3799.0,0.0,0.0,146.0,0.0,0.5043467143952953,3945.0
2132,2006,7795.0,8163.0,8.0,88.0,3556.0,0.0,0.0,163.0,0.0,0.45559230674996937,3719.0
2133,2007,8368.0,8756.0,8.0,132.0,3031.0,0.0,0.0,263.0,0.0,0.3761991777067154,3294.0
2134,2008,8392.0,8718.0,5.0,76.0,3675.0,0.0,0.0,294.0,0.0,0.45526496902959396,3969.0
2135,2009,8762.0,9047.0,37.0,94.0,2942.0,0.0,0.0,387.0,0.0,0.3679672819719244,3329.0
2136,2010,8735.0,8893.3,362.0,139.0,3849.4,0.0,0.0,271.0,0.0,0.4633150798916038,4120.4
2137,2011,8771.5,8797.5,511.0,193.0,4175.4,0.0,0.0,246.0,0.0,0.5025745950554135,4421.4
2138,2012,8968.4,9335.4,372.0,346.0,4458.6,0.0,0.0,246.0,0.0,0.5039526961887011,4704.6
2139,2013,9283.3,10024.3,313.1,669.1,4659.9,0.0,0.0,212.3,0.0,0.48603892541125066,4872.2
2140,2014,9709.1,10637.6,544.7,1052.6,4852.9,0.0,7.0,247.0,0.0,0.48008009325411743,5106.9
