,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
2141,2002,305.0,61.6,243.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2142,2003,318.4,54.1,264.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2143,2004,329.5,63.3,266.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2144,2005,341.6,53.1,288.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2145,2006,356.3,79.5,276.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2146,2007,355.2,158.2,197.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2147,2008,367.8,110.7,257.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2148,2009,383.9,173.5,210.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2149,2010,391.5,152.2,239.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2150,2011,393.2,84.6,308.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2151,2012,380.8,68.1,312.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2152,2013,400.0,288.8,111.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2153,2014,383.1,227.1,156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
