,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
2179,1990,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2180,1991,41.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2181,1992,44.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2182,1993,47.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2183,1994,49.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2184,1995,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2185,1996,51.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2186,1997,55.966,55.966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2187,1998,24.2,24.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2188,1999,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2189,2000,25.07,25.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2190,2001,24.898000000000003,24.898000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2191,2002,23.555999999999997,23.555999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2192,2003,21.682,21.682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2193,2004,28.285,28.285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2194,2005,26.244,26.244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2195,2006,27.945999999999998,27.945999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2196,2007,29.671999999999997,29.671999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2197,2008,29.819000000000003,29.819000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2198,2009,30.896,30.896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2199,2010,31.953000000000003,31.953000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2200,2011,33.17,33.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2201,2012,34.25,34.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2202,2013,35.36,35.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2203,2014,35.36,35.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
