,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
2154,1990,510.0,518.0,0.0,0.0,175.0,0.0,0.0,0.0,0.0,0.33783783783783783,175.0
2155,1991,515.0,523.0,0.0,0.0,178.0,0.0,0.0,0.0,0.0,0.3403441682600382,178.0
2156,1992,517.0,525.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.34285714285714286,180.0
2157,1993,520.0,530.0,0.0,0.0,182.0,0.0,0.0,0.0,0.0,0.3433962264150943,182.0
2158,1994,522.0,532.0,0.0,0.0,184.0,0.0,0.0,0.0,0.0,0.3458646616541353,184.0
2159,1995,527.0,537.0,0.0,0.0,185.0,0.0,0.0,0.0,0.0,0.34450651769087526,185.0
2160,1996,618.0,628.0,0.0,0.0,275.0,0.0,0.0,0.0,0.0,0.43789808917197454,275.0
2161,1997,633.0,643.0,0.0,0.0,288.0,0.0,0.0,0.0,0.0,0.447900466562986,288.0
2162,1998,791.0,801.0,0.0,0.0,413.0,0.0,0.0,0.0,0.0,0.5156054931335831,413.0
2163,1999,807.0,817.0,0.0,0.0,431.0,0.0,0.0,0.0,0.0,0.5275397796817626,431.0
2164,2000,903.0,913.0,0.0,0.0,511.0,0.0,0.0,0.0,0.0,0.5596933187294633,511.0
2165,2001,954.0,964.0,0.0,0.0,552.0,0.0,0.0,0.0,0.0,0.5726141078838174,552.0
2166,2002,1005.0,1015.0,0.0,0.0,595.0,0.0,0.0,0.0,0.0,0.5862068965517241,595.0
2167,2003,889.0,899.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.44493882091212456,400.0
2168,2004,884.0,973.0,0.0,0.0,555.0,0.0,0.0,0.0,0.0,0.5704008221993834,555.0
2169,2005,830.0,911.0,0.0,0.0,494.0,0.0,0.0,0.0,0.0,0.5422612513721186,494.0
2170,2006,786.0,873.0,0.0,0.0,461.0,0.0,0.0,0.0,0.0,0.5280641466208477,461.0
2171,2007,876.0,973.0,0.0,0.0,538.0,0.0,0.0,0.0,0.0,0.5529290853031861,538.0
2172,2008,905.0,1006.39,0.0,0.0,495.0,0.0,0.0,0.0,0.0,0.49185703355557986,495.0
2173,2009,904.0,1004.2,0.0,0.0,462.0,0.0,0.0,0.0,0.0,0.46006771559450305,462.0
2174,2010,862.0,958.2,0.0,0.0,474.0,0.0,0.0,0.0,0.0,0.4946775203506575,474.0
2175,2011,801.0,890.2,0.0,0.0,414.0,0.0,0.0,0.0,0.0,0.46506403055493145,414.0
2176,2012,963.0,1071.2,0.0,0.0,491.0,0.0,0.0,0.0,0.0,0.45836445108289764,491.0
2177,2013,896.0,995.2,0.0,0.0,482.0,0.0,0.0,0.0,0.0,0.4843247588424437,482.0
2178,2014,914.0,1015.0,0.0,0.0,490.0,0.0,0.0,0.0,0.0,0.4827586206896552,490.0
