,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
2204,1990,289.0,312.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.016025641025641024,5.0
2205,1991,240.0,250.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.02,5.0
2206,1992,236.0,233.0,17.0,0.0,5.0,0.0,0.0,0.0,0.0,0.02145922746781116,5.0
2207,1993,237.0,240.0,12.0,0.0,5.0,0.0,0.0,0.0,0.0,0.020833333333333332,5.0
2208,1994,546.0,567.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.008818342151675485,5.0
2209,1995,552.0,573.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.008726003490401396,5.0
2210,1996,662.9,687.9,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.007268498328245385,5.0
2211,1997,764.0,792.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.006313131313131313,5.0
2212,1998,825.0,854.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.00585480093676815,5.0
2213,1999,835.79,866.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2214,2000,870.62,897.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2215,2001,889.0,919.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2216,2002,882.44,914.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2217,2003,789.47,820.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2218,2004,824.73,853.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2219,2005,622.04,643.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2220,2006,641.83,664.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2221,2007,675.08,698.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2222,2008,685.12,709.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2223,2009,698.55,723.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2224,2010,741.7,867.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2225,2011,780.4,910.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2226,2012,814.9,942.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2227,2013,933.92,962.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2228,2014,950.76,979.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
