,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
2229,1990,456.0,475.0,0.0,0.0,190.0,0.0,0.0,0.0,0.0,0.4,190.0
2230,1991,457.0,470.0,0.0,0.0,190.0,0.0,0.0,0.0,0.0,0.40425531914893614,190.0
2231,1992,388.0,430.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.46511627906976744,200.0
2232,1993,387.0,393.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.5089058524173028,200.0
2233,1994,298.0,308.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.6493506493506493,200.0
2234,1995,516.0,523.0,0.0,0.0,225.0,0.0,0.0,0.0,0.0,0.43021032504780116,225.0
2235,1996,621.0,633.0,0.0,0.0,255.0,0.0,0.0,0.0,0.0,0.4028436018957346,255.0
2236,1997,621.0,633.0,0.0,0.0,255.0,0.0,0.0,0.0,0.0,0.4028436018957346,255.0
2237,1998,663.0,663.0,0.0,0.0,306.0,0.0,0.0,0.0,0.0,0.46153846153846156,306.0
2238,1999,686.0,698.0,0.0,0.0,405.0,0.0,0.0,0.0,0.0,0.5802292263610315,405.0
2239,2000,535.0,547.0,0.0,0.0,283.0,0.0,0.0,0.0,0.0,0.5173674588665448,283.0
2240,2001,582.0,594.0,0.0,0.0,283.0,0.0,0.0,0.0,0.0,0.4764309764309764,283.0
2241,2002,535.0,547.0,0.0,0.0,260.0,0.0,0.0,0.0,0.0,0.4753199268738574,260.0
2242,2003,523.0,535.0,0.0,0.0,255.0,0.0,0.0,0.0,0.0,0.4766355140186916,255.0
2243,2004,535.0,547.0,0.0,0.0,260.0,0.0,0.0,0.0,0.0,0.4753199268738574,260.0
2244,2005,544.0,556.0,0.0,0.0,265.0,0.0,0.0,0.0,0.0,0.4766187050359712,265.0
2245,2006,558.0,570.0,0.0,0.0,271.0,0.0,0.0,0.0,0.0,0.47543859649122805,271.0
2246,2007,458.0,468.0,0.0,0.0,154.0,0.0,0.0,0.0,0.0,0.32905982905982906,154.0
2247,2008,474.0,486.0,0.0,0.0,181.0,0.0,0.0,0.0,0.0,0.3724279835390947,181.0
2248,2009,704.0,721.0,0.0,0.0,207.0,0.0,0.0,0.0,0.0,0.2871012482662968,207.0
2249,2010,572.0,587.0,0.0,0.0,177.0,0.0,0.0,0.0,0.0,0.30153321976149916,177.0
2250,2011,915.0,974.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.12422997946611909,121.0
2251,2012,1072.0,1100.0,0.0,0.0,221.0,0.0,0.0,0.0,0.0,0.2009090909090909,221.0
2252,2013,1036.0,1055.0,0.0,0.0,141.0,0.0,0.0,0.0,0.0,0.13364928909952606,141.0
2253,2014,1022.0,1033.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.08712487899322362,90.0
