,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
2254,1990,1983.0,2287.0,5.0,308.0,2087.0,0.0,0.0,0.0,0.0,0.9125491910800175,2087.0
2255,1991,2121.0,2319.0,5.0,200.0,2119.0,0.0,0.0,0.0,0.0,0.913755929279862,2119.0
2256,1992,2313.0,2313.0,12.0,8.0,2113.0,0.0,0.0,0.0,0.0,0.9135322092520536,2113.0
2257,1993,2529.0,2486.0,64.0,13.0,2264.0,0.0,0.0,0.0,0.0,0.910699919549477,2264.0
2258,1994,2719.0,2672.0,62.0,6.0,2447.0,0.0,0.0,0.0,0.0,0.9157934131736527,2447.0
2259,1995,2811.0,2838.0,12.0,30.0,2093.0,0.0,0.0,0.0,0.0,0.7374911909795631,2093.0
2260,1996,2910.0,2985.0,96.0,160.0,2158.0,0.0,0.0,0.0,0.0,0.7229480737018426,2158.0
2261,1997,2572.0,2429.0,161.0,6.0,1378.0,0.0,0.0,0.0,0.0,0.5673116508851379,1378.0
2262,1998,3445.0,3414.0,60.0,16.0,1923.0,0.0,0.0,0.0,0.0,0.5632688927943761,1923.0
2263,1999,3307.0,3184.0,141.0,6.0,2130.0,0.0,0.0,0.0,0.0,0.6689698492462312,2130.0
2264,2000,3922.0,3659.0,281.0,5.0,2260.0,0.0,0.0,0.0,0.0,0.617655097021044,2260.0
2265,2001,4215.0,3917.0,308.0,0.0,2376.0,0.0,0.0,0.0,0.0,0.6065866734745979,2376.0
2266,2002,4567.0,4165.0,415.0,0.0,2455.0,0.0,0.0,0.0,0.0,0.5894357743097239,2455.0
2267,2003,4845.0,4530.0,331.0,0.0,2174.0,0.0,0.0,0.0,0.0,0.47991169977924947,2174.0
2268,2004,5217.0,4877.0,357.0,0.0,2348.0,0.0,0.0,0.0,0.0,0.48144351035472627,2348.0
2269,2005,5613.0,5579.0,57.0,2.0,1718.0,0.0,0.0,0.0,0.0,0.3079404911274422,1718.0
2270,2006,5944.0,5990.0,7.0,11.0,2070.0,0.0,0.0,0.0,0.0,0.34557595993322204,2070.0
2271,2007,6270.0,6335.0,12.0,23.0,2214.0,0.0,0.0,0.0,0.0,0.3494869771112865,2214.0
2272,2008,6570.0,6549.0,45.0,12.0,2291.0,0.0,0.0,0.0,0.0,0.3498244006718583,2291.0
2273,2009,6568.0,6625.0,1.0,46.0,2797.0,0.0,0.0,0.0,0.0,0.422188679245283,2797.0
2274,2010,6774.0,6777.0,22.0,13.0,3080.0,0.0,0.0,0.0,0.0,0.45447838276523533,3080.0
2275,2011,7683.0,7653.0,171.0,127.0,2815.0,117.0,0.0,0.0,0.0,0.38311773160851953,2932.0
2276,2012,7577.0,7740.0,154.0,79.0,2787.0,338.0,0.0,0.0,0.0,0.4037467700258398,3125.0
2277,2013,7938.0,8074.0,268.0,156.0,2739.0,310.0,0.0,0.0,0.0,0.37763190487986126,3049.0
2278,2014,8360.0,8038.0,827.0,505.0,2602.0,398.0,0.0,0.0,0.0,0.3732271709380443,3000.0
