,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
2279,1990,37046.0,28436.0,13299.0,2152.0,178.0,0.0,0.0,0.0,0.0,0.0062596708397805595,178.0
2280,1991,34816.0,29963.0,8410.0,1059.0,194.0,0.0,0.0,0.0,0.0,0.006474652070887428,194.0
2281,1992,32586.0,31685.0,4988.0,1521.0,158.0,0.0,0.0,0.0,0.0,0.0049865867129556575,158.0
2282,1993,32828.0,32915.0,4093.0,1619.0,166.0,0.0,0.0,0.0,0.0,0.005043293331307914,166.0
2283,1994,32993.0,33515.0,2954.0,920.0,161.0,0.0,0.0,0.0,0.0,0.004803819185439356,161.0
2284,1995,33669.0,34018.0,3210.0,805.0,163.0,0.0,0.0,0.0,0.0,0.004791580927744135,163.0
2285,1996,34515.0,35090.0,3473.0,1276.0,207.0,0.0,0.0,0.0,0.0,0.005899116557423767,207.0
2286,1997,34584.0,35397.0,4410.0,2261.0,216.0,0.0,0.0,0.0,0.0,0.006102212051868803,216.0
2287,1998,35000.0,37190.0,3354.0,2614.0,155.0,0.0,0.0,0.0,0.0,0.004167787039526754,155.0
2288,1999,35967.0,37832.0,4349.0,3286.0,181.0,0.0,0.0,0.0,0.0,0.004784309579192218,181.0
2289,2000,35699.0,35191.0,9523.0,6083.0,178.0,0.0,0.0,0.0,0.0,0.005058111448950016,178.0
2290,2001,36875.0,36415.0,10403.0,7232.0,186.0,1.0,0.0,0.0,0.0,0.005135246464369078,187.0
2291,2002,37731.0,36157.0,12605.0,8349.0,194.0,1.0,0.0,0.0,0.0,0.005393146555300495,195.0
2292,2003,38317.0,34145.0,14077.0,7138.0,171.0,4.0,0.0,0.0,0.0,0.005125201347195783,175.0
2293,2004,38730.0,33708.0,10524.0,3056.0,205.0,6.0,0.0,0.0,0.0,0.006259641628100154,211.0
2294,2005,39446.0,35756.0,15637.0,9410.0,202.0,10.0,0.0,0.0,0.0,0.005929074840586196,212.0
2295,2006,40552.0,35859.0,15393.0,8186.0,186.0,43.0,0.0,0.0,0.0,0.00638612342787027,229.0
2296,2007,41206.0,39960.0,14680.0,10694.0,210.0,110.0,0.0,0.0,0.0,0.008008008008008008,320.0
2297,2008,41286.0,40025.0,12774.0,8871.0,213.0,205.0,1.0,0.0,0.0,0.0104684572142411,419.0
2298,2009,38857.0,35908.0,10972.0,5459.0,228.0,331.0,1.0,0.0,0.0,0.015595410493483347,560.0
2299,2010,39808.0,37371.0,9897.0,4702.0,188.0,534.0,1.0,0.0,0.0,0.019346552139359395,723.0
2300,2011,40176.0,36019.0,14664.0,8021.0,222.0,626.0,1.0,0.0,0.0,0.02357089313973181,849.0
2301,2012,40318.0,34635.0,16970.0,9003.0,213.0,770.0,8.0,0.0,0.0,0.028612675039699727,991.0
2302,2013,39922.0,30291.0,16635.0,4758.0,213.0,718.0,25.0,0.0,0.0,0.0315605295302235,956.0
2303,2014,40517.0,29371.0,19079.0,5689.0,302.0,657.0,56.0,0.0,0.0,0.03455789724558238,1015.0
