,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
2304,1990,4309.0,4510.0,0.0,0.0,4204.0,0.0,0.0,300.0,0.0,0.998669623059867,4504.0
2305,1991,4278.0,4494.0,0.0,0.0,4204.0,0.0,0.0,283.0,0.0,0.9984423676012462,4487.0
2306,1992,4322.0,4546.0,0.0,0.0,4310.0,0.0,0.0,230.0,0.0,0.9986801583809943,4540.0
2307,1993,4501.0,4727.0,0.0,0.0,4466.0,0.0,0.0,256.0,0.0,0.998942246668077,4722.0
2308,1994,4552.0,4780.0,0.0,0.0,4515.0,0.0,0.0,260.0,0.0,0.9989539748953975,4775.0
2309,1995,4737.0,4981.0,0.0,0.0,4682.0,0.0,0.0,290.0,0.0,0.9981931339088537,4972.0
2310,1996,4889.0,5123.0,0.0,0.0,4772.0,0.0,0.0,346.0,0.0,0.9990240093695101,5118.0
2311,1997,5337.0,5586.0,0.0,0.0,5207.0,0.0,0.0,375.0,0.0,0.9992839240959541,5582.0
2312,1998,6072.0,6281.0,0.0,0.0,5621.0,0.0,0.0,655.0,0.0,0.9992039484158574,6276.0
2313,1999,6906.0,7188.0,0.0,0.0,6047.0,0.0,0.0,1136.0,0.0,0.9993043962159154,7183.0
2314,2000,7377.0,7684.0,0.0,0.0,6356.0,0.0,0.0,1323.0,0.0,0.9993492972410203,7679.0
2315,2001,7719.0,8033.0,0.0,0.0,6578.0,0.0,0.0,1451.0,0.0,0.9995020540271381,8029.0
2316,2002,8095.0,8416.0,0.0,0.0,6977.0,0.0,0.0,1433.0,0.0,0.999287072243346,8410.0
2317,2003,8181.0,8500.0,0.0,0.0,7088.0,0.0,0.0,1406.0,0.0,0.9992941176470588,8494.0
2318,2004,8297.0,8623.0,0.0,0.0,7134.0,0.0,0.0,1483.0,0.0,0.9993041864780239,8617.0
2319,2005,8343.0,8686.0,0.0,0.0,7019.0,0.0,0.0,1658.0,0.0,0.9989638498733594,8677.0
2320,2006,9624.0,9930.0,0.0,0.0,7293.0,0.0,0.0,2631.0,0.0,0.9993957703927493,9924.0
2321,2007,11598.0,11977.0,0.0,0.0,8394.0,0.0,0.0,3579.0,0.0,0.9996660265508892,11973.0
2322,2008,15981.0,16467.0,0.0,0.0,12427.0,0.0,0.0,4038.0,0.0,0.9998785449687253,16465.0
2323,2009,16333.0,16834.0,0.0,0.0,12279.0,0.0,0.0,4553.0,0.0,0.9998811928240465,16832.0
2324,2010,16560.0,17059.0,0.0,0.0,12592.0,0.0,0.0,4465.0,0.0,0.9998827598335189,17057.0
2325,2011,16655.0,17211.0,0.0,0.0,12507.0,0.0,0.0,4702.0,0.0,0.9998837952472256,17209.0
2326,2012,17026.0,17549.0,0.0,0.0,12337.0,0.0,0.0,5209.0,0.0,0.9998290500883241,17546.0
2327,2013,17580.0,18116.0,0.0,0.0,12863.0,3.0,0.0,5245.0,0.0,0.9997240008831971,18111.0
2328,2014,17475.0,18122.0,0.0,0.0,12873.0,8.0,0.0,5238.0,0.0,0.9998344553581282,18119.0
