,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
2329,1990,268044.0,289439.0,1440.0,64.0,71656.0,32.0,0.0,0.0,0.0,0.2476791310086063,71688.0
2330,1991,292414.0,315631.0,1506.0,53.0,72775.0,39.0,0.0,0.0,0.0,0.23069343632279465,72814.0
2331,1992,308238.0,332713.0,1352.0,146.0,69886.0,52.0,0.0,0.0,0.0,0.21020519186205527,69938.0
2332,1993,330463.0,356335.0,1547.0,101.0,70478.0,57.0,0.0,0.0,0.0,0.19794575329395092,70535.0
2333,1994,358929.0,385557.0,1480.0,57.0,82727.0,182.0,0.0,0.0,0.0,0.2150369465474625,82909.0
2334,1995,388852.0,418043.0,1572.0,50.0,72596.0,498.0,0.0,0.0,0.0,0.1748480419478379,73094.0
2335,1996,405817.0,436879.0,1577.0,84.0,68919.0,926.0,0.0,0.0,0.0,0.1598726420816748,69845.0
2336,1997,432137.0,465825.0,1385.0,321.0,74661.0,1037.0,0.0,0.0,0.0,0.16250308592282509,75698.0
2337,1998,462403.0,496924.0,1385.0,270.0,83003.0,1127.0,0.0,0.0,0.0,0.1693015430931088,84130.0
2338,1999,500392.0,536452.0,1540.0,201.0,80854.0,1509.0,0.0,0.0,0.0,0.15353284170811182,82363.0
2339,2000,527212.0,560842.0,1497.0,195.0,74362.0,1582.0,0.0,0.0,0.0,0.1354106860755792,75944.0
2340,2001,543867.0,579120.0,1540.0,187.0,73579.0,2085.0,0.0,0.0,0.0,0.13065340516645946,75664.0
2341,2002,559722.0,596633.0,1520.0,175.0,64104.0,2511.0,0.0,0.0,0.0,0.11165155128864813,66615.0
2342,2003,595261.0,633372.0,1748.0,58.0,75339.0,3402.0,0.0,0.0,0.0,0.12432030465508422,78741.0
2343,2004,626091.0,665986.0,1735.0,40.0,84723.0,4295.0,0.0,0.0,0.0,0.13366347040328175,89018.0
2344,2005,651343.0,697470.0,1763.0,209.0,101730.0,5991.0,0.0,0.0,0.0,0.15444535248827906,107721.0
2345,2006,711618.0,752454.0,2957.0,216.0,113720.0,9547.0,0.0,0.0,0.0,0.1638199810220957,123267.0
2346,2007,772511.0,813102.0,5230.0,290.0,120589.0,11413.0,0.0,0.0,0.0,0.16234371579457435,132002.0
2347,2008,798126.0,842531.0,5899.0,327.0,114337.0,13334.0,0.0,0.0,0.0,0.15153270324771434,127671.0
2348,2009,854523.0,899389.0,5359.0,519.0,106909.0,18188.0,0.0,0.0,0.0,0.13909109406497078,125097.0
2349,2010,907185.0,954539.0,5610.0,584.0,114486.0,18735.0,0.0,0.0,0.0,0.13956580087351067,133221.0
2350,2011,924209.0,973006.0,8441.0,0.0,103741.0,23353.0,0.0,0.0,0.0,0.13061995506708077,127094.0
2351,2012,983178.0,1035264.0,5152.0,0.0,113855.0,28365.0,0.0,0.0,0.0,0.13737558728981206,142220.0
2352,2013,1117490.0,1193480.0,5598.0,0.0,141637.0,33583.0,3433.0,0.0,0.0,0.1496908201226665,178653.0
2353,2014,1283905.0,1308873.0,4998.0,0.0,129353.0,27057.0,5020.0,0.0,0.0,0.12333511349076648,161430.0
