,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
2354,1990,47225.0,48897.0,0.0,0.0,10240.0,0.0,0.0,1125.0,0.0,0.2324273472810193,11365.0
2355,1991,49885.0,51452.0,0.0,0.0,10124.0,0.0,0.0,1102.0,0.0,0.21818393842804945,11226.0
2356,1992,52989.0,54940.0,0.0,0.0,12772.0,0.0,0.0,1025.0,0.0,0.25112850382235163,13797.0
2357,1993,56917.0,58888.0,0.0,0.0,12085.0,0.0,0.0,1087.0,0.0,0.22367884798261106,13172.0
2358,1994,62360.0,64351.0,0.0,0.0,11178.0,0.0,0.0,1601.0,0.0,0.1985827726064863,12779.0
2359,1995,66138.0,68399.0,0.0,0.0,10913.0,0.0,0.0,2210.0,0.0,0.19185953011008933,13123.0
2360,1996,75529.0,78117.0,0.0,0.0,11269.0,0.0,0.0,2210.0,0.0,0.17254886900418603,13479.0
2361,1997,80866.0,84096.0,0.0,0.0,9759.0,0.0,0.0,2439.0,0.0,0.14504851598173515,12198.0
2362,1998,72798.0,76017.0,0.0,0.0,10612.0,0.0,0.0,2593.0,0.0,0.17371114355999315,13205.0
2363,1999,94917.0,95944.0,0.0,0.0,13921.0,0.0,0.0,2728.0,0.0,0.17352830817977152,16649.0
2364,2000,98456.0,99511.0,0.0,0.0,13721.0,0.0,0.0,2649.0,0.0,0.1645044266463004,16370.0
2365,2001,97937.0,101647.0,0.0,0.0,11656.0,0.0,0.0,6031.0,0.0,0.17400415162277294,17687.0
2366,2002,104546.0,108206.0,0.0,0.0,9940.0,0.0,0.0,6238.0,0.0,0.1495111176829381,16178.0
2367,2003,108904.0,112944.0,0.0,0.0,9081.0,0.0,0.0,6315.0,0.0,0.13631534211644708,15396.0
2368,2004,114336.0,120160.0,0.0,0.0,9673.0,0.0,0.0,6651.0,0.0,0.13585219707057258,16324.0
2369,2005,122067.0,127369.0,0.0,0.0,10759.0,0.0,0.0,6604.0,0.0,0.13632045474173465,17363.0
2370,2006,127567.0,133108.0,0.0,0.0,9623.0,0.0,0.0,6658.0,0.0,0.12231421101661809,16281.0
2371,2007,136315.0,142236.0,0.0,0.0,11286.0,0.0,0.0,7021.0,0.0,0.12870862510194325,18307.0
2372,2008,144057.0,149437.0,0.0,0.0,11528.0,0.0,0.0,8297.0,0.0,0.13266460113626477,19825.0
2373,2009,153554.05,157516.05,1262.0,0.0,11384.0,4.05,0.0,9295.0,0.0,0.13130757151414094,20683.05
2374,2010,165521.0,169569.52,2224.0,0.0,17456.0,4.02,0.5,9357.0,0.0,0.1581505921583077,26817.52
2375,2011,178044.0,182389.0,2542.0,0.0,12419.0,5.0,1.0,9371.0,0.0,0.1195028208938039,21796.0
2376,2012,192830.0,196180.9,2440.0,0.0,12799.0,5.0,2.9,9417.0,0.0,0.11328268959924234,22223.9
2377,2013,214165.0,216185.9,2990.0,0.0,16930.0,1.4,5.5,9414.0,0.0,0.12189000300204593,26350.9
2378,2014,224780.0,220793.8,8990.0,0.0,18800.0,0.0,6.8,9996.0,0.0,0.13045112679794452,28802.8
