,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
2379,1990,56188.0,59102.0,0.0,0.0,6083.0,0.0,0.0,0.0,0.0,0.10292375892524788,6083.0
2380,1991,61158.0,64126.0,0.0,0.0,7056.0,0.0,0.0,0.0,0.0,0.11003337179927018,7056.0
2381,1992,65011.0,68419.0,0.0,0.0,9530.0,0.0,0.0,0.0,0.0,0.13928879404843683,9530.0
2382,1993,72605.0,76204.0,0.0,193.0,9823.0,0.0,0.0,0.0,0.0,0.12890399454096899,9823.0
2383,1994,78065.0,81878.0,0.0,197.0,7445.0,0.0,0.0,0.0,0.0,0.09092796599819243,7445.0
2384,1995,80902.0,84969.0,0.0,157.0,7288.0,0.0,0.0,0.0,0.0,0.08577245819063423,7288.0
2385,1996,85899.0,90851.0,0.0,384.0,7392.0,0.0,0.0,0.0,0.0,0.0813639915906264,7392.0
2386,1997,92630.0,97744.0,0.0,522.0,6929.0,0.0,0.0,0.0,0.0,0.07088926174496644,6929.0
2387,1998,98509.0,103438.0,144.0,617.0,7040.0,0.0,0.0,0.0,0.0,0.06806009396933428,7040.0
2388,1999,107690.0,112657.0,36.0,44.0,4943.0,0.0,0.0,0.0,0.0,0.04387654562077811,4943.0
2389,2000,115917.0,121383.0,37.0,43.0,3650.0,37.0,0.0,0.0,0.0,0.030374928943921308,3687.0
2390,2001,124071.0,130199.0,38.0,43.0,5057.0,34.0,0.0,0.0,0.0,0.03910168280862372,5091.0
2391,2002,134711.0,141081.0,39.0,42.0,8050.0,30.0,0.0,0.0,0.0,0.05727206356632006,8080.0
2392,2003,147087.0,153879.0,37.0,41.0,11098.0,27.0,0.0,0.0,0.0,0.07229706457671287,11125.0
2393,2004,159430.0,166023.0,2170.0,1837.0,10627.0,7.0,0.0,0.0,0.0,0.06405136637694778,10634.0
2394,2005,169589.35,178088.35,2084.0,2759.0,16100.0,71.0,0.05,0.0,0.0,0.09080352532886064,16171.05
2395,2006,184418.78,192681.78,2541.0,2775.0,18266.0,125.0,0.08,0.0,0.0,0.09544794531169476,18391.08
2396,2007,195400.0,203985.57,1842.0,2520.0,17987.0,143.0,0.07,0.0,0.0,0.0888791790517339,18130.07
2397,2008,203985.0,214530.18,1684.0,3875.0,5003.0,196.0,0.08,0.0,0.0,0.024234725389220297,5199.08
2398,2009,208801.0,221371.67,2068.0,6152.0,7233.0,225.0,0.07,0.0,0.0,0.0336902639800296,7458.07
2399,2010,221173.0,232964.69,3015.0,6707.0,9526.0,163.0,0.09,0.0,0.0,0.04159038007004409,9689.09
2400,2011,226558.0,240052.05,3656.0,8668.0,12058.0,217.0,0.05,0.0,0.0,0.05113495177400068,12275.05
2401,2012,238586.0,254276.06,3897.0,11029.0,12447.0,207.0,0.06,0.0,0.0,0.04976504669767181,12654.06
2402,2013,245418.0,262434.07,3707.0,11586.0,14582.0,376.0,0.07,0.0,0.0,0.0569974393949688,14958.07
2403,2014,259832.0,274609.0,3772.0,9660.0,13862.0,358.0,0.0,0.0,0.0,0.05178271651693863,14220.0
