,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
2404,1990,29160.0,29160.0,0.0,0.0,610.0,0.0,0.0,0.0,0.0,0.02091906721536351,610.0
2405,1991,20810.0,20810.0,0.0,0.0,310.0,0.0,0.0,0.0,0.0,0.014896684286400768,310.0
2406,1992,25300.0,25300.0,0.0,0.0,700.0,0.0,0.0,0.0,0.0,0.02766798418972332,700.0
2407,1993,26300.0,26300.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.022813688212927757,600.0
2408,1994,28000.0,28000.0,0.0,0.0,560.0,0.0,0.0,0.0,0.0,0.02,560.0
2409,1995,29000.0,29000.0,0.0,0.0,570.0,0.0,0.0,0.0,0.0,0.019655172413793102,570.0
2410,1996,29050.0,29050.0,0.0,0.0,570.0,0.0,0.0,0.0,0.0,0.019621342512908778,570.0
2411,1997,29561.0,29561.0,0.0,0.0,581.0,0.0,0.0,0.0,0.0,0.01965427421264504,581.0
2412,1998,32045.0,32045.0,0.0,0.0,593.0,0.0,0.0,0.0,0.0,0.018505227024496803,593.0
2413,1999,32678.0,32678.0,0.0,0.0,605.0,0.0,0.0,0.0,0.0,0.018513984943999022,605.0
2414,2000,31900.0,31900.0,0.0,0.0,611.0,0.0,0.0,0.0,0.0,0.01915360501567398,611.0
2415,2001,32251.0,32251.0,0.0,0.0,618.0,0.0,0.0,0.0,0.0,0.019162196521038108,618.0
2416,2002,33863.0,33863.0,0.0,0.0,649.0,0.0,0.0,0.0,0.0,0.01916546082745179,649.0
2417,2003,28340.0,28340.0,0.0,0.0,433.0,0.0,0.0,0.0,0.0,0.015278757939308399,433.0
2418,2004,33613.0,32295.0,1318.0,0.0,493.0,0.0,0.0,0.0,0.0,0.01526552097847964,493.0
2419,2005,27580.0,29297.0,0.0,0.0,4964.0,0.0,0.0,0.0,0.0,0.16943714373485338,4964.0
2420,2006,31943.0,30703.0,2688.0,0.0,4970.0,0.0,0.0,0.0,0.0,0.16187343256359313,4970.0
2421,2007,32544.0,32104.0,2196.0,0.0,4548.0,0.0,0.0,0.0,0.0,0.14166459008223276,4548.0
2422,2008,37424.0,36780.0,2973.0,0.0,3485.0,0.0,0.0,0.0,0.0,0.094752582925503,3485.0
2423,2009,49215.0,46065.0,5604.0,0.0,3228.0,0.0,0.0,0.0,0.0,0.07007489417127971,3228.0
2424,2010,53220.0,48909.0,6722.0,0.0,4767.0,0.0,0.0,0.0,0.0,0.09746672391584371,4767.0
2425,2011,61502.0,54240.0,7262.0,0.0,4140.0,0.0,0.0,0.0,0.0,0.07632743362831858,4140.0
2426,2012,54815.0,46018.0,10170.0,0.0,4392.0,0.0,0.0,0.0,0.0,0.0954409144247903,4392.0
2427,2013,68314.0,58422.0,12202.0,0.0,4757.0,0.0,0.0,0.0,0.0,0.08142480572387115,4757.0
2428,2014,78306.0,67768.0,12251.0,0.0,2931.0,0.0,0.0,0.0,0.0,0.043250501711722344,2931.0
