,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
2429,1990,13244.0,14515.0,0.0,0.0,983.0,0.0,0.0,0.0,0.0,0.067723045125732,983.0
2430,1991,13932.0,15148.0,0.0,0.0,964.0,0.0,0.0,0.0,0.0,0.06363876419329284,964.0
2431,1992,14709.0,16013.0,0.0,0.0,1050.0,5.0,0.0,0.0,0.0,0.0658839692749641,1055.0
2432,1993,15070.0,16396.0,0.0,0.0,1012.0,15.0,0.0,0.0,0.0,0.0626372285923396,1027.0
2433,1994,15727.0,17106.0,0.0,0.0,1198.0,19.0,0.0,0.0,0.0,0.07114462761604115,1217.0
2434,1995,16444.0,17859.0,20.0,35.0,968.0,16.0,0.0,0.0,0.0,0.055098269779942886,984.0
2435,1996,17575.0,19180.0,53.0,182.0,982.0,14.0,0.0,0.0,0.0,0.05192909280500521,996.0
2436,1997,18439.0,19953.0,64.0,76.0,942.0,50.0,0.0,0.0,0.0,0.049716834561218864,992.0
2437,1998,19686.0,21151.0,152.0,73.0,1189.0,169.0,0.0,0.0,0.0,0.06420500212755897,1358.0
2438,1999,20763.0,22009.0,290.0,49.0,1090.0,187.0,0.0,0.0,0.0,0.05802171838793221,1277.0
2439,2000,22333.0,23977.0,169.0,71.0,1150.0,244.0,0.0,0.0,0.0,0.058139049922842724,1394.0
2440,2001,22948.0,24956.0,38.0,288.0,920.0,334.0,0.0,0.0,0.0,0.05024843724955923,1254.0
2441,2002,23895.0,25195.0,565.0,62.0,1264.0,388.0,0.0,0.0,0.0,0.06556856519150625,1652.0
2442,2003,24680.0,25219.0,1176.0,10.0,956.0,454.0,0.0,0.0,0.0,0.055910226416590665,1410.0
2443,2004,25435.0,25569.0,1574.0,0.0,984.0,655.0,0.0,0.0,0.0,0.06410105987719504,1639.0
2444,2005,26305.0,25970.0,2045.0,1.0,975.0,1112.0,0.0,0.0,0.0,0.08036195610319599,2087.0
2445,2006,27328.0,27480.0,1787.0,9.0,1088.0,1622.0,0.0,0.0,0.0,0.09861717612809316,2710.0
2446,2007,27718.0,28196.0,1412.0,82.0,1016.0,1958.0,0.0,0.0,0.0,0.10547595403603348,2974.0
2447,2008,28846.0,30239.0,753.0,303.0,1300.0,2410.0,0.0,0.0,0.0,0.12268924236912597,3710.0
2448,2009,27313.0,28313.0,939.0,175.0,1257.0,2955.0,0.0,0.0,0.0,0.14876558471373574,4212.0
2449,2010,27623.0,28685.0,760.0,290.0,776.0,2815.0,0.0,0.0,0.0,0.1251873801638487,3591.0
2450,2011,26851.0,27474.0,732.0,242.0,707.0,4380.0,1.0,0.0,0.0,0.18519327364053287,5088.0
2451,2012,26545.0,27600.0,784.0,370.0,1014.0,4010.0,1.0,0.0,0.0,0.18206521739130435,5025.0
2452,2013,26774.0,26142.0,2625.0,383.0,944.0,4542.0,1.0,0.0,0.0,0.20989212761074133,5487.0
2453,2014,26955.0,26314.0,2853.0,704.0,988.0,5140.0,1.0,0.0,0.0,0.23291783841301208,6129.0
