,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
2454,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
2455,1996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
2456,1997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
2457,1998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
2458,1999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
2459,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
2460,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
2461,2002,419.0,143.0,280.0,4.0,3.0,0.0,0.0,0.0,0.0,0.02097902097902098,3.0
2462,2003,423.1,143.9,283.2,4.0,2.3,0.0,0.0,0.0,0.0,0.01598332175121612,2.3
2463,2004,430.3,189.3,247.0,6.0,3.3,0.0,0.0,0.0,0.0,0.01743264659270998,3.3
2464,2005,428.0,434.6,42.4,49.0,2.6,0.0,0.0,0.0,0.0,0.005982512655315232,2.6
2465,2006,422.5,395.5,51.0,24.0,3.5,0.0,0.0,0.0,0.0,0.008849557522123894,3.5
2466,2007,432.8,462.1,41.7,71.0,2.1,0.0,0.0,0.0,0.0,0.004544470893745943,2.1
2467,2008,438.4,503.2,31.2,96.0,3.2,0.0,0.0,0.0,0.0,0.006359300476947536,3.2
2468,2009,437.3,532.7,18.6,114.0,3.4,0.0,0.0,0.0,0.0,0.0063825793129341085,3.4
2469,2010,434.8,497.9,44.9,108.0,3.0,0.0,0.0,0.0,0.0,0.006025306286402892,3.0
2470,2011,424.4,498.6,40.8,115.0,3.1,0.0,0.0,0.0,0.0,0.006217408744484556,3.1
2471,2012,427.8,295.9,179.9,48.0,4.4,0.0,0.0,0.0,0.0,0.014869888475836434,4.4
2472,2013,423.0,504.0,50.0,77.0,4.0,0.0,0.0,0.0,0.0,0.007936507936507936,4.0
2473,2014,418.0,504.0,50.0,93.0,4.0,0.0,0.0,0.0,0.0,0.007936507936507936,4.0
