,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
2474,1990,19165.0,20898.0,0.0,456.0,3.0,0.0,0.0,0.0,0.0,0.0001435544071202986,3.0
2475,1991,19726.0,21514.0,0.0,744.0,6.0,0.0,0.0,0.0,0.0,0.00027888816584549595,6.0
2476,1992,23063.0,25144.0,0.0,615.0,29.0,0.0,0.0,0.0,0.0,0.0011533566656061088,29.0
2477,1993,23805.0,26015.0,0.0,630.0,26.0,0.0,0.0,0.0,0.0,0.000999423409571401,26.0
2478,1994,26161.0,28424.0,0.0,735.0,23.0,0.0,0.0,0.0,0.0,0.00080917534477906,23.0
2479,1995,27942.0,30425.0,0.0,914.0,25.0,0.0,0.0,0.0,0.0,0.0008216926869350862,25.0
2480,1996,29870.0,32531.0,0.0,979.0,24.0,0.0,0.0,0.0,0.0,0.0007377578309919769,24.0
2481,1997,31165.0,35100.0,0.0,1170.0,25.0,0.0,0.0,0.0,0.0,0.0007122507122507123,25.0
2482,1998,33767.0,37955.0,0.0,1055.0,25.0,0.0,0.0,0.0,0.0,0.0006586747464102226,25.0
2483,1999,35978.0,39215.0,0.0,1272.0,33.0,0.0,0.0,0.0,0.0,0.0008415147265077139,33.0
2484,2000,39111.0,42661.0,0.0,1457.0,31.0,0.0,0.0,0.0,0.0,0.0007266590093996859,31.0
2485,2001,39065.0,43951.0,0.0,1399.0,10.0,10.0,0.0,0.0,0.0,0.0004550522172419285,20.0
2486,2002,39986.0,45500.0,0.0,1387.0,21.0,11.0,0.0,0.0,0.0,0.0007032967032967033,32.0
2487,2003,41413.0,47041.0,0.0,1470.0,31.0,12.0,0.0,0.0,0.0,0.0009140962139410301,43.0
2488,2004,41668.0,47279.0,0.0,1459.0,28.0,11.0,0.0,0.0,0.0,0.0008248905433702067,39.0
2489,2005,42835.0,48602.0,0.0,1667.0,28.0,11.0,0.0,0.0,0.0,0.0008024361137401753,39.0
2490,2006,44536.0,50558.0,0.0,1844.0,15.0,10.0,0.0,0.0,0.0,0.0004944815855057558,25.0
2491,2007,47166.0,53792.0,0.0,2081.0,14.0,10.0,0.0,0.0,0.0,0.000446162998215348,24.0
2492,2008,49361.0,57002.0,0.0,3666.0,16.0,9.0,0.0,0.0,0.0,0.000438581102417459,25.0
2493,2009,46758.0,55008.0,0.0,3783.0,24.0,9.0,24.0,0.0,0.0,0.0010362129144851659,57.0
2494,2010,49750.0,58591.0,0.0,3966.0,31.0,8.0,70.0,0.0,0.0,0.0018603539792800942,109.0
2495,2011,50495.0,59679.0,0.0,4222.0,29.0,7.0,192.0,0.0,0.0,0.0038204393505253103,228.0
2496,2012,53317.0,63003.0,0.0,4434.0,33.0,6.0,369.0,0.0,0.0,0.00647588210085234,408.0
2497,2013,54507.0,61322.0,0.0,4675.0,28.0,6.0,494.0,0.0,0.0,0.00861028668340889,528.0
2498,2014,53980.0,60813.0,0.0,4844.0,13.0,6.0,840.0,0.0,0.0,0.014125269268084127,859.0
