,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
2499,1990,234937.0,216600.0,35577.0,922.0,35079.0,2.0,4.0,3222.0,0.0,0.17685595567867035,38307.0
2500,1991,240795.0,221816.0,35454.0,372.0,45606.0,3.0,5.0,3182.0,0.0,0.21998413099145236,48796.0
2501,1992,244797.0,226254.0,35947.0,647.0,45786.0,2.0,9.0,3459.0,0.0,0.21770222846888895,49256.0
2502,1993,246614.0,222802.0,40109.0,677.0,44482.0,4.0,11.0,3667.0,0.0,0.2161740020287071,48164.0
2503,1994,253621.0,231813.0,38695.0,1096.0,47731.0,7.0,11.0,3417.0,0.0,0.22072101219517457,51166.0
2504,1995,261017.0,241489.0,38662.0,1235.0,41907.0,9.0,13.0,3436.0,0.0,0.18785534744853802,45365.0
2505,1996,262881.0,244433.0,38149.0,760.0,47072.0,33.0,14.0,3762.0,0.0,0.20815929109408304,50881.0
2506,1997,271401.0,251473.0,39827.0,995.0,46552.0,118.0,15.0,3905.0,0.0,0.20117467879255427,50590.0
2507,1998,279327.0,259800.0,41633.0,901.0,47365.0,231.0,16.0,4214.0,0.0,0.19948421862971516,51826.0
2508,1999,285855.0,265667.0,42538.0,528.0,51777.0,403.0,17.0,4403.0,0.0,0.2130486661873699,56600.0
2509,2000,298522.0,276641.0,44831.0,484.0,50899.0,563.0,18.0,4705.0,0.0,0.20309715479628834,56185.0
2510,2001,304847.0,279009.0,48926.0,549.0,53926.0,1179.0,19.0,4507.0,0.0,0.213724288463813,59631.0
2511,2002,310742.0,285275.0,51519.0,922.0,47261.0,1404.0,21.0,4662.0,0.0,0.18700552098851986,53348.0
2512,2003,320677.0,293885.0,51486.0,518.0,44277.0,1458.0,24.0,5341.0,0.0,0.17387753713187132,51100.0
2513,2004,325382.0,303347.0,46426.0,791.0,49908.0,1847.0,29.0,5437.0,0.0,0.18863216052903112,57221.0
2514,2005,330471.0,303700.0,50264.0,1109.0,42927.0,2344.0,31.0,5324.0,0.0,0.16669739874876524,50626.0
2515,2006,337492.0,314122.0,46596.0,1611.0,43425.0,2971.0,35.0,5527.0,0.0,0.16540707113796552,51958.0
2516,2007,339928.0,313888.0,48931.0,2648.0,38482.0,4034.0,38.0,5569.0,0.0,0.15331264654908758,48123.0
2517,2008,339482.0,319131.0,43433.0,3398.0,47227.0,4861.0,193.0,5520.0,0.0,0.1811199789428166,57801.0
2518,2009,320267.0,292640.0,47070.0,2111.0,53443.0,6543.0,676.0,5342.0,0.0,0.22554674685620557,66004.0
2519,2010,330454.0,302063.0,45987.0,1827.0,54406.0,9126.0,1906.0,5376.0,0.0,0.23443453849031493,70814.0
2520,2011,334634.0,302582.0,47519.0,1787.0,47757.0,9856.0,10796.0,5654.0,0.0,0.24477001275687252,74063.0
2521,2012,328216.0,299277.0,45407.0,2304.0,43854.0,13407.0,18862.0,5592.0,0.0,0.2730413630182072,81715.0
2522,2013,318476.0,289807.0,44338.0,2200.0,54672.0,14897.0,21589.0,5659.0,0.0,0.3340740561822178,96817.0
2523,2014,310535.0,279827.0,46747.0,3031.0,60256.0,15178.0,22306.0,5916.0,0.0,0.37042887212456266,103656.0
