,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
2524,1990,2450.0,2458.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0,0.044751830756712775,110.0
2525,1991,2116.0,2123.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.05652378709373528,120.0
2526,1992,2193.0,2199.0,0.0,0.0,109.0,0.0,0.0,0.0,0.0,0.049567985447930875,109.0
2527,1993,3781.0,3791.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.02374043787918755,90.0
2528,1994,4764.0,4775.0,0.0,0.0,111.0,0.0,0.0,0.0,0.0,0.02324607329842932,111.0
2529,1995,5816.0,5829.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.020586721564590838,120.0
2530,1996,6023.0,6038.0,0.0,0.0,128.0,0.0,0.0,0.0,0.0,0.02119907254057635,128.0
2531,1997,6239.0,6255.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0,0.017585931254996003,110.0
2532,1998,6463.0,6480.0,0.0,0.0,114.0,0.0,0.0,0.0,0.0,0.017592592592592594,114.0
2533,1999,6591.0,6609.0,0.0,0.0,116.0,0.0,0.0,0.0,0.0,0.017551823271296715,116.0
2534,2000,6612.0,6631.0,0.0,0.0,115.0,0.0,0.0,0.0,0.0,0.017342783893832002,115.0
2535,2001,6645.0,6656.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.009014423076923076,60.0
2536,2002,6924.0,6934.0,0.0,0.0,94.0,0.0,0.0,0.0,0.0,0.013556388808768388,94.0
2537,2003,7136.0,7146.0,0.0,0.0,146.0,0.0,0.0,0.0,0.0,0.020431010355443605,146.0
2538,2004,7237.0,7249.0,0.0,0.0,168.0,32.0,0.0,0.0,0.0,0.027590012415505585,200.0
2539,2005,7410.0,7422.0,0.0,0.0,152.0,50.0,0.0,0.0,0.0,0.027216383724063594,202.0
2540,2006,7454.0,7473.0,0.0,0.0,166.0,55.0,0.0,0.0,0.0,0.029573129934430616,221.0
2541,2007,5981.0,5996.0,0.0,0.0,160.0,52.0,0.0,0.0,0.0,0.035356904603068715,212.0
2542,2008,4326.9,4499.4,0.0,0.0,158.0,49.0,0.0,0.0,0.0,0.046006134151220165,207.0
2543,2009,3996.3,4207.7,0.0,0.0,158.2,51.0,0.0,0.0,0.0,0.04971837345818381,209.2
2544,2010,4200.6,4216.7,0.0,0.0,151.7,53.2,0.0,0.0,0.0,0.04859250124504944,204.89999999999998
2545,2011,4135.0,4170.5,0.0,0.0,152.2,91.9,0.0,0.0,0.0,0.05853015225992087,244.1
2546,2012,4112.7,4156.2,0.0,0.0,150.7,108.0,0.0,0.0,0.0,0.06224435782686107,258.7
2547,2013,4141.3,4256.2,0.0,0.0,124.3,115.0,0.0,0.0,0.0,0.056223861660636254,239.3
2548,2014,4111.0,4123.0,0.0,0.0,135.0,119.0,0.0,0.0,0.0,0.06160562697065244,254.0
