,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
2549,1990,799596.0,842044.0,0.0,0.0,95835.0,0.0,1.0,1741.0,0.0,0.11588111785132368,97577.0
2550,1991,825200.0,871725.0,0.0,0.0,105595.0,0.0,1.0,1773.0,0.0,0.12316843041096676,107369.0
2551,1992,831644.0,877307.0,0.0,0.0,89616.0,0.0,20.0,1787.0,0.0,0.10420867495642916,91423.0
2552,1993,837894.0,888153.0,0.0,0.0,105470.0,1.0,25.0,1777.0,0.0,0.1207821174955216,107273.0
2553,1994,892720.0,944507.0,0.0,0.0,75659.0,1.0,33.0,2064.0,0.0,0.0823254883235381,77757.0
2554,1995,915602.0,969382.0,0.0,0.0,91216.0,1.0,46.0,3173.0,0.0,0.09741876783352693,94436.0
2555,1996,935569.0,990148.0,0.0,0.0,89433.0,2.0,63.0,3673.0,0.0,0.09409805402828668,93171.0
2556,1997,958234.0,1015022.0,0.0,0.0,100414.0,1.0,96.0,3756.0,0.0,0.10272388184689593,104267.0
2557,1998,964410.0,1020247.0,0.0,0.0,102587.0,7.0,140.0,3531.0,0.0,0.10415615042239772,106265.0
2558,1999,983611.0,1037277.0,0.0,0.0,95577.0,38.0,219.0,3451.0,0.0,0.0957169589222551,99285.0
2559,2000,1003407.0,1058548.0,0.0,0.0,96817.0,109.0,347.0,3348.0,0.0,0.09505568004474053,100621.0
2560,2001,985256.0,1040013.0,0.0,0.0,93872.0,252.0,475.0,3432.0,0.0,0.09425939868059341,98031.0
2561,2002,1005107.0,1058420.0,0.0,0.0,91801.0,415.0,669.0,3374.0,0.0,0.09094593828536876,96259.0
2562,2003,996219.0,1047942.0,0.0,0.0,104137.0,833.0,903.0,3484.0,0.0,0.10435405776273877,109357.0
2563,2004,1024532.0,1077431.0,0.0,0.0,103147.0,1310.0,1189.0,3374.0,0.0,0.10118513389720549,109020.0
2564,2005,1042262.0,1099790.0,0.0,0.0,86350.0,1754.0,1493.0,3226.0,0.0,0.08440065830749506,92823.0
2565,2006,1048639.0,1104589.0,0.0,0.0,97340.0,2210.0,1794.0,3081.0,0.0,0.09453742523237149,104425.0
2566,2007,1076782.0,1135718.0,0.0,0.0,84234.0,2624.0,2015.0,3043.0,0.0,0.08093206236055077,91916.0
2567,2008,1030275.0,1082549.0,0.0,0.0,83504.0,2946.0,2251.0,2750.0,0.0,0.08447746938013892,91451.0
2568,2009,1025778.0,1075305.0,0.0,0.0,83832.0,3613.0,2758.0,2886.0,0.0,0.0865698569243145,93089.0
2569,2010,1094547.0,1147899.0,0.0,0.0,90682.0,3962.0,3800.0,2647.0,0.0,0.08806611034594507,101091.0
2570,2011,1033661.0,1082230.0,0.0,0.0,91709.0,4559.0,5160.0,2676.0,0.0,0.09619396985853285,104104.0
2571,2012,1012110.0,1064065.0,0.0,0.0,83645.0,4722.0,6963.0,2609.0,0.0,0.09204230944538162,97939.0
2572,2013,1019318.0,1065623.0,0.0,0.0,84923.0,4286.0,14279.0,2596.0,0.0,0.09955115458281212,106084.0
2573,2014,998941.0,1040676.0,0.0,0.0,86942.0,5038.0,24506.0,2577.0,0.0,0.11440928780907794,119063.0
