,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
2574,1991,476.4,191.0,285.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2575,1992,505.8,346.7,159.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2576,1993,511.1,285.0,226.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2577,1994,522.1,302.9,219.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2578,1995,523.2,317.8,205.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2579,1996,540.1,287.7,252.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2580,1997,566.6,233.1,333.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2581,1998,588.1,256.0,332.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2582,1999,609.1,269.8,339.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2583,2000,584.4,176.0,408.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2584,2001,624.1,93.7,530.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2585,2002,641.4,81.3,560.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2586,2003,660.4,30.3,630.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2587,2004,671.2,46.4,624.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2588,2005,679.1,29.2,649.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2589,2006,705.5,36.9,668.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2590,2007,681.9,86.6,595.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2591,2008,715.6,38.4,677.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2592,2009,724.6,63.9,660.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2593,2010,725.3,56.4,668.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2594,2011,746.1,45.8,700.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2595,2012,724.2,60.2,681.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2596,2013,858.7,327.8,552.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2597,2014,696.7,135.3,581.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
