,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
2598,1990,3448.0,3688.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.004880694143167028,18.0
2599,1991,3493.0,3723.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0018802041364491002,7.0
2600,1992,4157.0,4422.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0033921302578018998,15.0
2601,1993,4476.0,4761.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.004620877966813695,22.0
2602,1994,4778.0,5075.0,3.0,0.0,14.0,0.0,0.0,0.0,0.0,0.002758620689655172,14.0
2603,1995,5287.0,5616.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.003205128205128205,18.0
2604,1996,5725.0,6058.0,0.0,2.0,22.0,0.0,0.0,0.0,0.0,0.0036315615714757345,22.0
2605,1997,5935.0,6264.0,0.0,3.0,17.0,0.0,0.0,0.0,0.0,0.0027139208173690933,17.0
2606,1998,6341.0,6745.0,0.0,4.0,13.0,0.0,0.0,0.0,0.0,0.001927353595255745,13.0
2607,1999,6616.0,7081.0,0.0,5.0,14.0,0.0,0.0,0.0,0.0,0.001977121875441322,14.0
2608,2000,6929.0,7375.0,45.0,5.0,39.0,0.0,0.0,0.0,0.0,0.005288135593220339,39.0
2609,2001,7310.0,7544.0,267.0,2.0,43.0,0.0,0.0,0.0,0.0,0.0056998939554612936,43.0
2610,2002,7911.0,8130.0,322.0,1.0,53.0,3.0,0.0,0.0,0.0,0.006888068880688807,56.0
2611,2003,8509.0,8044.0,972.0,3.0,53.0,3.0,0.0,0.0,0.0,0.0069617105917454,56.0
2612,2004,9168.0,8970.0,788.0,0.0,53.0,3.0,0.0,0.0,0.0,0.006243032329988852,56.0
2613,2005,9812.0,9651.0,741.0,4.0,57.0,3.0,0.0,0.0,0.0,0.006216972334473112,60.0
2614,2006,11042.0,11120.0,514.0,36.0,51.0,3.0,0.0,0.0,0.0,0.004856115107913669,54.0
2615,2007,12345.0,12838.0,208.0,176.0,61.0,3.0,0.0,0.0,0.0,0.004985200186945007,64.0
2616,2008,13770.0,14160.0,547.0,323.0,62.0,3.0,0.0,0.0,0.0,0.004590395480225989,65.0
2617,2009,13980.0,14272.0,383.0,139.0,59.0,3.0,0.0,0.0,0.0,0.004344170403587444,62.0
2618,2010,14845.0,14777.0,670.0,58.0,61.0,3.0,0.0,0.0,0.0,0.004331055017933275,64.0
2619,2011,15683.0,14647.0,1738.0,86.0,55.0,3.0,0.0,0.0,0.0,0.003959855260462893,58.0
2620,2012,16657.0,16596.0,784.0,104.0,61.0,3.0,0.0,0.0,0.0,0.003856350927934442,64.0
2621,2013,16969.0,17263.0,381.0,59.0,55.0,3.0,0.0,0.0,0.0,0.0033597868273185427,58.0
2622,2014,18009.0,18270.4,435.0,64.0,58.0,2.4,0.0,0.0,0.0,0.003305893685961993,60.4
