,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
2623,1992,96874.0,82701.0,29620.0,15447.0,6866.0,0.0,0.0,0.0,0.0,0.08302197071377614,6866.0
2624,1993,83444.0,77444.0,12000.0,6000.0,7629.0,0.0,0.0,0.0,0.0,0.09850989101802593,7629.0
2625,1994,71602.0,66397.0,13031.0,0.0,9179.0,0.0,0.0,0.0,0.0,0.13824419778002017,9179.0
2626,1995,65630.0,66659.0,7393.0,0.0,8331.0,0.0,0.0,0.0,0.0,0.1249793726278522,8331.0
2627,1996,57220.0,58657.0,6615.0,26.0,7331.0,0.0,0.0,0.0,0.0,0.12498082070341136,7331.0
2628,1997,49511.0,52000.0,4704.0,1.0,6499.0,0.0,0.0,0.0,0.0,0.12498076923076923,6499.0
2629,1998,50574.0,52745.0,7252.0,3441.0,6141.0,0.0,0.0,0.0,0.0,0.11642809744999526,6141.0
2630,1999,46280.0,47498.0,3077.0,85.0,6132.0,0.0,0.0,0.0,0.0,0.12910017263884796,6132.0
2631,2000,50051.0,51635.0,3077.0,85.0,7531.0,0.0,0.0,0.0,0.0,0.14585068267647913,7531.0
2632,2001,52361.0,55350.0,3435.0,1637.0,8081.0,0.0,0.0,0.0,0.0,0.14599819331526648,8081.0
2633,2002,54865.0,58331.0,3550.0,2000.0,8890.0,0.0,0.0,0.0,0.0,0.15240609624384976,8890.0
2634,2003,52140.0,63866.0,3506.0,4975.0,8625.0,0.0,0.0,0.0,0.0,0.13504838255096607,8625.0
2635,2004,54194.0,66942.0,5234.0,7403.0,8057.0,0.0,0.0,0.0,0.0,0.12035792178303606,8057.0
2636,2005,57231.0,67916.0,4552.0,3978.0,7856.0,0.0,0.0,0.0,0.0,0.11567230107780199,7856.0
2637,2006,60491.0,71653.0,4161.0,3326.0,7768.0,0.0,0.0,0.0,0.0,0.10841137147083862,7768.0
2638,2007,64034.0,76621.0,3269.0,3616.0,8171.0,0.0,0.0,0.0,0.0,0.10664178227900967,8171.0
2639,2008,65335.0,80327.0,2768.0,2483.0,7460.0,0.0,0.0,0.0,0.0,0.09287039227158987,7460.0
2640,2009,63001.0,78710.0,1710.0,2378.0,6879.0,0.0,0.0,0.0,0.0,0.08739677296404523,6879.0
2641,2010,68402.4,82646.0,2104.6,1560.2,8022.0,0.0,0.0,0.0,0.0,0.09706458872782711,8022.0
2642,2011,78017.5,86586.0,3405.5,1809.0,7883.0,0.0,0.0,0.0,0.0,0.09104243180190794,7883.0
2643,2012,82269.0,92817.0,4252.0,2933.0,7637.0,3.0,0.0,0.0,0.0,0.08231250740704828,7640.0
2644,2013,84900.0,103086.0,2147.0,2996.0,7731.0,5.0,1.0,0.0,0.0,0.0750538385425761,7737.0
2645,2014,84122.0,105068.0,1749.0,2917.0,8263.0,13.0,1.0,0.0,0.0,0.07877755358434538,8277.0
