,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
2646,1990,3215.0,3044.0,171.0,0.0,2537.0,0.0,0.0,336.0,0.0,0.9438239159001314,2873.0
2647,1991,3361.0,3227.0,134.0,0.0,2770.0,0.0,0.0,298.0,0.0,0.9507282305546948,3068.0
2648,1992,3455.0,3215.0,240.0,0.0,2796.0,0.0,0.0,272.0,0.0,0.9542768273716952,3068.0
2649,1993,3669.0,3396.0,273.0,0.0,2993.0,0.0,0.0,272.0,0.0,0.9614252061248527,3265.0
2650,1994,3802.0,3538.0,264.0,0.0,3068.0,0.0,0.0,261.0,0.0,0.9409270774448841,3329.0
2651,1995,3919.0,3747.0,172.0,0.0,3123.0,0.0,0.0,290.0,0.0,0.9108620229516947,3413.0
2652,1996,4311.0,4174.0,137.0,0.0,3383.0,0.0,0.0,392.0,0.0,0.9044082414949689,3775.0
2653,1997,4394.0,4244.0,150.0,0.0,3228.0,0.0,0.0,369.0,0.0,0.8475494816211122,3597.0
2654,1998,4532.0,4423.0,139.0,0.0,3364.0,0.0,0.0,387.0,0.0,0.848066922903007,3751.0
2655,1999,4871.0,4745.0,155.0,0.0,2435.0,0.0,0.0,383.0,0.0,0.5938883034773446,2818.0
2656,2000,4495.0,4323.0,198.0,0.0,1325.0,0.0,0.0,429.0,0.0,0.40573675688179506,1754.0
2657,2001,4974.0,4831.0,172.0,0.0,2403.0,0.0,0.0,480.0,0.0,0.5967708548954668,2883.0
2658,2002,5362.0,5170.0,222.0,0.0,3119.0,0.0,0.0,386.0,0.0,0.6779497098646035,3505.0
2659,2003,5645.0,5506.0,171.0,0.0,3260.0,0.0,0.0,787.0,0.0,0.7350163458045769,4047.0
2660,2004,6588.5,6441.6,161.9,0.0,3169.2,0.0,0.0,986.6,0.0,0.6451502732240437,4155.8
2661,2005,6724.0,6736.5,27.9,24.4,3038.9,0.0,0.0,1001.6,0.0,0.5997921769464856,4040.5
2662,2006,7269.6,7322.5,10.8,46.7,3024.8,0.0,0.0,1045.7,0.0,0.5558893820416524,4070.5
2663,2007,6720.9,6772.6,22.6,58.3,3591.5,0.0,0.0,988.9,0.0,0.6763133803856716,4580.4
2664,2008,6414.6,6455.6,25.0,41.0,3267.0,0.2,0.0,1039.0,0.0,0.667048763863932,4306.2
2665,2009,6480.2,6507.2,39.0,27.0,2160.0,7.2,0.0,1293.0,0.0,0.5317494467666585,3460.2
2666,2010,6946.2,6975.8,30.0,29.6,3224.0,16.8,0.0,1442.0,0.0,0.6712921815419021,4682.8
2667,2011,7522.5,7560.0,33.9,37.3,3217.2,17.6,0.0,1443.7,0.0,0.6188492063492064,4678.5
2668,2012,7818.6,7851.6,39.1,32.7,4015.9,14.4,0.0,1515.9,0.0,0.7063783177950992,5546.200000000001
2669,2013,8411.5,8448.3,49.0,36.4,4435.0,14.7,0.0,1780.9,0.0,0.7374974847010642,6230.6
2670,2014,9226.6,9138.6,158.4,27.0,3569.0,17.0,0.0,2917.4,0.0,0.7116407327161709,6503.4
