,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
2671,1990,7.92,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2672,1991,7.9,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2673,1992,7.99,8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2674,1993,8.3,8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2675,1994,5.33,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2676,1995,9.03,9.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2677,1996,8.13,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2678,1997,10.69,10.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2679,1998,10.36,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2680,1999,12.68,12.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2681,2000,14.25,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2682,2001,12.39,12.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2683,2002,13.76,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2684,2003,17.69,17.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2685,2004,20.38,20.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2686,2005,21.0,21.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2687,2006,22.4,23.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2688,2007,22.4,23.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2689,2008,21.3,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2690,2009,21.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2691,2010,22.7,24.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2692,2011,22.7,24.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2693,2012,22.7,24.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2694,2013,22.7,24.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2695,2014,22.9,24.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
