,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
2696,1990,26147.0,27700.0,0.0,0.0,15600.0,0.0,0.0,0.0,0.0,0.5631768953068592,15600.0
2697,1991,24825.0,26300.0,0.0,0.0,15000.0,0.0,0.0,0.0,0.0,0.5703422053231939,15000.0
2698,1992,22750.0,24700.0,0.0,0.0,14200.0,0.0,0.0,0.0,0.0,0.5748987854251012,14200.0
2699,1993,20355.0,22100.0,0.0,0.0,13300.0,0.0,0.0,0.0,0.0,0.6018099547511312,13300.0
2700,1994,21227.0,23100.0,0.0,0.0,13800.0,0.0,0.0,0.0,0.0,0.5974025974025974,13800.0
2701,1995,21083.0,23000.0,0.0,0.0,14200.0,0.0,0.0,0.0,0.0,0.6173913043478261,14200.0
2702,1996,19474.0,21300.0,0.0,0.0,12500.0,0.0,0.0,0.0,0.0,0.5868544600938967,12500.0
2703,1997,17597.0,19300.0,0.0,0.0,10700.0,0.0,0.0,0.0,0.0,0.5544041450777202,10700.0
2704,1998,15421.0,17000.0,0.0,0.0,10200.0,0.0,0.0,0.0,0.0,0.6,10200.0
2705,1999,16889.0,18600.0,0.0,0.0,10300.0,0.0,0.0,0.0,0.0,0.553763440860215,10300.0
2706,2000,17560.0,19400.0,0.0,0.0,10200.0,0.0,0.0,0.0,0.0,0.5257731958762887,10200.0
2707,2001,18284.0,20200.0,0.0,0.0,10600.0,0.0,0.0,0.0,0.0,0.5247524752475248,10600.0
2708,2002,17900.0,19776.0,0.0,0.0,10620.0,0.0,0.0,0.0,0.0,0.5370145631067961,10620.0
2709,2003,19006.0,20998.0,0.0,0.0,11720.0,0.0,0.0,0.0,0.0,0.5581483950852462,11720.0
2710,2004,19889.0,21973.0,0.0,0.0,12500.0,0.0,0.0,0.0,0.0,0.5688799890775043,12500.0
2711,2005,20739.0,22912.0,0.0,0.0,13132.0,0.0,0.0,0.0,0.0,0.5731494413407822,13132.0
2712,2006,20307.0,22435.0,0.0,0.0,12620.0,0.0,0.0,0.0,0.0,0.5625139291285938,12620.0
2713,2007,19482.0,21523.0,0.0,0.0,13280.0,0.0,0.0,0.0,0.0,0.617014356734656,13280.0
2714,2008,21004.0,23205.0,0.0,0.0,14068.0,0.0,0.0,0.0,0.0,0.6062486533074768,14068.0
2715,2009,19123.0,21127.0,0.0,0.0,12500.0,0.0,0.0,0.0,0.0,0.5916599611871065,12500.0
2716,2010,19609.0,21664.0,0.0,0.0,13400.0,0.0,0.0,0.0,0.0,0.6185376661742984,13400.0
2717,2011,17402.0,19226.0,0.0,0.0,13200.0,0.0,0.0,0.0,0.0,0.6865702694268179,13200.0
2718,2012,17411.0,19236.0,0.0,0.0,13500.0,0.0,0.0,0.0,0.0,0.7018091079226451,13500.0
2719,2013,16593.0,18332.0,0.0,0.0,13900.0,0.0,0.0,0.0,0.0,0.7582369626881955,13900.0
2720,2014,16210.0,17909.0,0.0,0.0,13000.0,0.0,0.0,0.0,0.0,0.7258920096041097,13000.0
