,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
2721,1990,98018.0,105371.0,0.0,0.0,6361.0,0.0,1.0,0.0,0.0,0.06037714361636504,6362.0
2722,1991,107107.0,114820.0,0.0,0.0,5051.0,0.0,1.0,0.0,0.0,0.043999303257272256,5052.0
2723,1992,117774.0,126170.0,0.0,0.0,4863.0,0.0,2.0,0.0,0.0,0.03855908694618372,4865.0
2724,1993,135922.0,144814.0,0.0,0.0,6006.0,1.0,2.0,0.0,0.0,0.041494606875025895,6009.0
2725,1994,154008.0,163516.0,0.0,0.0,4098.0,1.0,2.0,0.0,0.0,0.025080114484209496,4101.0
2726,1995,172118.0,183857.0,0.0,0.0,5478.0,0.0,2.0,0.0,0.0,0.02980577296485856,5480.0
2727,1996,192973.0,205382.0,0.0,0.0,5201.0,0.0,3.0,0.0,0.0,0.025338150373450448,5204.0
2728,1997,211405.0,224704.0,0.0,0.0,5403.0,1.0,3.0,0.0,0.0,0.024062767017943607,5407.0
2729,1998,205690.0,217889.0,0.0,0.0,6099.0,2.0,4.0,0.0,0.0,0.028018853636484632,6105.0
2730,1999,223987.0,237503.0,0.0,0.0,6066.0,6.0,5.0,0.0,0.0,0.025587045216270952,6077.0
2731,2000,275573.0,290126.0,0.0,0.0,5610.0,17.0,5.0,0.0,0.0,0.019412255364910418,5632.0
2732,2001,295471.0,310958.0,0.0,0.0,5972.0,13.0,6.0,0.0,0.0,0.01926626747020498,5991.0
2733,2002,314137.0,331882.0,0.0,0.0,5311.0,15.0,7.0,0.0,0.0,0.01606896427043347,5333.0
2734,2003,327432.0,345192.0,0.0,0.0,6903.0,25.0,8.0,0.0,0.0,0.02009316554265452,6936.0
2735,2004,350731.0,368162.0,0.0,0.0,5880.0,47.0,10.0,0.0,0.0,0.016126053204839175,5937.0
2736,2005,370815.0,389390.0,0.0,0.0,5189.0,130.0,15.0,0.0,0.0,0.013698348699247541,5334.0
2737,2006,385890.0,404021.0,0.0,0.0,5219.0,239.0,31.0,0.0,0.0,0.013585927464166467,5489.0
2738,2007,408553.0,427316.0,0.0,0.0,5042.0,376.0,70.0,0.0,0.0,0.012842954628424866,5488.0
2739,2008,425418.0,446428.0,0.0,0.0,5563.0,436.0,285.0,0.0,0.0,0.014076178017507863,6284.0
2740,2009,431265.0,454504.0,0.0,0.0,5641.0,685.0,566.0,0.0,0.0,0.015163782937003855,6892.0
2741,2010,476729.0,499508.0,0.0,0.0,6472.0,817.0,772.0,0.0,0.0,0.01613787967359882,8061.0
2742,2011,498893.0,523286.0,0.0,0.0,7831.0,863.0,917.0,0.0,0.0,0.01836662933844972,9611.0
2743,2012,509557.0,534618.0,0.0,0.0,7652.0,917.0,1103.0,0.0,0.0,0.01809142228656723,9672.0
2744,2013,516062.0,541996.0,0.0,0.0,8394.0,1149.0,1605.0,0.0,484.0,0.02146141299935793,11632.0
2745,2014,523363.0,550933.0,0.0,0.0,7820.0,1146.0,2557.0,0.0,492.0,0.02180845946784818,12015.0
