,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
2746,1990,15929.0,18887.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2747,1991,8906.0,10880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2748,1992,14409.0,17085.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2749,1993,15186.0,18200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2750,1994,19887.0,23152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2751,1995,20796.0,24254.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2752,1996,22265.0,26005.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2753,1997,23390.0,27254.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2754,1998,25753.0,29984.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2755,1999,26962.0,31576.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2756,2000,27463.0,32323.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2757,2001,29273.0,34299.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2758,2002,31060.0,36369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2759,2003,34311.0,39802.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2760,2004,35632.0,41256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2761,2005,37906.0,43734.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2762,2006,41572.0,47607.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2763,2007,42584.0,48753.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2764,2008,45234.0,51749.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2765,2009,46601.0,53216.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2766,2010,50133.0,57029.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2767,2011,50509.0,57457.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2768,2012,55078.0,62655.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2769,2013,53607.0,60982.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2770,2014,57553.0,65140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
