,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
2771,1992,11313.0,13789.0,0.0,2176.0,9200.0,0.0,0.0,0.0,0.0,0.6671984915512365,9200.0
2772,1993,10180.0,11453.0,0.0,1023.0,9085.0,0.0,0.0,0.0,0.0,0.7932419453418318,9085.0
2773,1994,10511.0,13087.0,0.0,2377.0,11724.0,0.0,0.0,0.0,0.0,0.8958508443493544,11724.0
2774,1995,12717.0,14285.0,254.0,1622.0,11118.0,0.0,0.0,0.0,0.0,0.7782989149457473,11118.0
2775,1996,13373.0,15729.0,815.0,2881.0,12255.0,0.0,0.0,0.0,0.0,0.7791340835399581,12255.0
2776,1997,12373.0,14285.0,715.0,2417.0,10934.0,0.0,0.0,0.0,0.0,0.7654182709135456,10934.0
2777,1998,11646.0,12455.0,394.0,998.0,9943.0,0.0,0.0,0.0,0.0,0.7983139301485347,9943.0
2778,1999,12138.0,14135.0,184.0,2011.0,12142.0,0.0,0.0,0.0,0.0,0.8590024761230987,12142.0
2779,2000,13055.0,15983.0,321.0,3153.0,13683.0,0.0,0.0,0.0,0.0,0.8560971031721204,13683.0
2780,2001,12911.0,14936.0,322.0,2165.0,12430.0,0.0,0.0,0.0,0.0,0.8322174611676486,12430.0
2781,2002,12193.0,13086.0,385.0,1062.0,10787.0,0.0,0.0,0.0,0.0,0.8243160629680575,10787.0
2782,2003,13261.0,15576.0,108.0,1716.0,13516.0,0.0,0.0,0.0,0.0,0.8677452491011813,13516.0
2783,2004,12950.0,16312.0,54.0,3382.0,14094.0,0.0,0.0,0.0,0.0,0.8640264835703776,14094.0
2784,2005,13731.0,16415.0,0.0,2684.0,14259.0,0.0,0.0,0.0,0.0,0.8686567164179104,14259.0
2785,2006,14561.0,17082.0,0.0,2521.0,14887.0,0.0,0.0,0.0,0.0,0.871502166022714,14887.0
2786,2007,11999.0,14830.0,4.0,2579.0,12736.0,0.0,0.0,0.0,0.0,0.8587997302764666,12736.0
2787,2008,10806.0,11789.0,102.0,868.0,10124.0,0.0,0.0,0.0,0.0,0.8587666468742048,10124.0
2788,2009,9655.0,11083.0,52.0,1251.0,10217.0,0.0,0.0,0.0,0.0,0.9218623116484707,10217.0
2789,2010,10150.0,12100.0,116.0,1828.0,11108.0,0.0,0.0,0.0,0.0,0.9180165289256198,11108.0
2790,2011,12251.0,15158.0,174.0,2848.0,14139.0,0.0,0.0,0.0,0.0,0.9327747723974139,14139.0
2791,2012,13270.0,15168.0,177.0,1840.0,14179.0,0.0,0.0,0.0,0.0,0.93479694092827,14179.0
2792,2013,13435.0,14011.0,0.0,377.0,13097.0,0.0,0.0,0.0,0.0,0.9347655413603597,13097.0
2793,2014,14516.0,14572.0,286.0,72.0,13298.0,0.0,0.0,0.0,0.0,0.912572055997804,13298.0
