,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
2794,1990,309.2966,878.4893,26.0,595.1927,833.4893,0.0,0.0,0.0,0.0,0.9487756993739138,833.4893
2795,1991,342.3399,878.9267,26.0,562.5868,833.9267,0.0,0.0,0.0,0.0,0.9488011912711265,833.9267
2796,1992,360.9941,794.8122,26.0,459.8181,751.8122,0.0,0.0,0.0,0.0,0.945899169640325,751.8122
2797,1993,415.0775,962.8637,48.0,595.7862,919.8637,0.0,0.0,0.0,0.0,0.9553415504188184,919.8637
2798,1994,470.2992,1241.5498,58.0,829.2506,1198.5498,0.0,0.0,0.0,0.0,0.9653658677243555,1198.5498
2799,1995,495.4425,1127.9894,43.0,675.5469,1084.9894,0.0,0.0,0.0,0.0,0.9618790743955573,1084.9894
2800,1996,586.4059,1290.8368,88.0,792.4309,1247.8368,0.0,0.0,0.0,0.0,0.9666882753884922,1247.8368
2801,1997,653.5271,1261.7388,102.0,710.2117,1218.7388,0.0,0.0,0.0,0.0,0.9659200462092471,1218.7388
2802,1998,861.2339999999999,2333.6195,142.0632,1614.4487,2157.6195,0.0,0.0,0.0,0.0,0.9245806782125363,2157.6195
2803,1999,1005.1864,3061.8003,172.1971,2228.811,2800.8003,0.0,0.0,0.0,0.0,0.9147560342194754,2800.8003
2804,2000,1460.1962,4241.1874,180.5971,2961.5883,3679.8874,0.0,193.3,0.0,0.0,0.9132318463456721,3873.1874000000003
2805,2001,1506.5720000000001,4195.4846,182.497,2871.4096,3632.1846,0.0,193.3,0.0,0.0,0.9118099492011007,3825.4846000000002
2806,2002,1557.9862,4022.7535,200.797,2665.5643,3469.4535,0.0,193.3,0.0,0.0,0.910509058036989,3662.7535000000003
2807,2003,1634.2111,3689.3044,229.3436,2284.4369,3178.0044,0.0,193.3,0.0,0.0,0.9138048896155059,3371.3044
2808,2004,1713.8322,3858.7588,277.58799999999997,2422.5146,3345.4588,0.0,193.3,0.0,0.0,0.9170717796613771,3538.7588
2809,2005,1847.3425,4017.9199,325.6383,2496.2157,3499.6199,0.0,193.3,0.0,0.0,0.9191123745398708,3692.9199000000003
2810,2006,1957.9022,4134.1843,325.0168,2501.2989,3608.8843,0.0,193.3,0.0,0.0,0.9196939526861443,3802.1843000000003
2811,2007,2103.6914,3862.9569,467.1694,2226.4349,3369.6569,0.0,193.3,0.0,0.0,0.9223392836715315,3562.9569
2812,2008,2409.905,4171.6647,515.3492,2277.1089,3678.3647,0.0,193.3,0.0,0.0,0.9280862625416659,3871.6647000000003
2813,2009,2753.5759,3874.3152,818.6277,1939.3670000000002,3381.0152,0.0,193.3,0.0,0.0,0.9225669609948102,3574.3152
2814,2010,2733.9629999999997,3755.063,998.9830000000001,2020.0829999999999,3261.763,0.0,193.3,0.0,0.0,0.9201078650344882,3455.063
2815,2011,2530.367,3802.47,747.8969999999999,2020.0,3309.17,0.0,193.3,0.0,0.0,0.9211039140348248,3502.4700000000003
2816,2012,2530.367,3802.47,747.8969999999999,2020.0,3309.17,0.0,193.3,0.0,0.0,0.9211039140348248,3502.4700000000003
2817,2013,4305.0,4471.0,1205.0,876.0,3976.0,0.0,195.0,0.0,0.0,0.9329009170208007,4171.0
2818,2014,4741.0,4380.0,1486.0,630.0,3885.0,0.0,195.0,0.0,0.0,0.9315068493150684,4080.0
