,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
2819,1992,7672.0,3834.0,4080.0,2.0,2523.0,0.0,0.0,0.0,0.0,0.6580594679186228,2523.0
2820,1993,6202.0,3924.0,2672.0,170.0,2875.0,0.0,0.0,0.0,0.0,0.7326707441386341,2875.0
2821,1994,6010.0,4440.0,2648.0,830.0,3305.0,0.0,0.0,0.0,0.0,0.7443693693693694,3305.0
2822,1995,6080.0,3979.0,2647.0,391.0,2937.0,0.0,0.0,0.0,0.0,0.7381251570746419,2937.0
2823,1996,6191.0,3124.0,3438.0,211.0,1860.0,1.0,0.0,0.0,0.0,0.5957106274007683,1861.0
2824,1997,6151.0,4501.0,1824.0,1.0,2952.0,1.0,0.0,0.0,0.0,0.6560764274605643,2953.0
2825,1998,6143.0,5797.0,914.0,385.0,4316.0,2.0,0.0,0.0,0.0,0.7448680351906158,4318.0
2826,1999,5897.0,4110.0,2597.0,642.0,2757.0,2.0,0.0,0.0,0.0,0.6712895377128953,2759.0
2827,2000,5766.0,4136.0,2108.0,322.0,2819.0,4.0,0.0,0.0,0.0,0.6825435203094777,2823.0
2828,2001,6027.0,4279.0,2340.0,457.0,2833.0,3.0,0.0,0.0,0.0,0.662771675625146,2836.0
2829,2002,6179.0,3975.0,2838.0,490.0,2463.0,11.0,0.0,0.0,0.0,0.6223899371069183,2474.0
2830,2003,6415.0,3975.0,2671.0,38.0,2266.0,48.0,0.0,0.0,0.0,0.5821383647798742,2314.0
2831,2004,6595.0,4689.0,2733.0,636.0,3109.0,49.0,0.0,0.0,0.0,0.673491149498827,3158.0
2832,2005,6862.0,4905.0,2855.0,707.0,3325.0,47.0,0.0,0.0,0.0,0.6874617737003058,3372.0
2833,2006,6961.0,4891.0,2810.0,302.0,2698.0,46.0,0.0,0.0,0.0,0.5610304641177674,2744.0
2834,2007,7404.0,4771.0,4964.0,1964.0,2733.0,53.0,0.0,0.0,0.0,0.5839446656885349,2786.0
2835,2008,7426.0,5274.0,4643.0,2123.0,3109.0,59.0,0.0,0.0,0.0,0.6006825938566553,3168.0
2836,2009,6844.0,5569.0,4259.0,2605.0,3457.0,50.0,0.0,0.0,0.0,0.6297360387861376,3507.0
2837,2010,6940.0,6627.0,3973.0,3100.0,3520.0,49.0,0.0,0.0,0.0,0.538554398672099,3569.0
2838,2011,6807.0,6095.0,4009.0,2764.0,2887.0,71.0,0.0,0.0,0.0,0.4853158326497129,2958.0
2839,2012,7407.0,6167.0,4935.0,3244.0,3707.0,114.0,0.0,0.0,0.0,0.6195881303713313,3821.0
2840,2013,7151.0,6209.0,5005.0,3650.0,2912.0,120.0,0.0,0.0,0.0,0.4883234015139314,3032.0
2841,2014,7047.0,5141.0,5340.0,3023.0,1994.0,141.0,0.0,0.0,0.0,0.41528885430850027,2135.0
