,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
2842,1990,2863.0,2825.0,38.0,0.0,300.0,0.0,0.0,0.0,0.0,0.10619469026548672,300.0
2843,1991,3681.0,3641.0,40.0,0.0,500.0,0.0,0.0,0.0,0.0,0.137324910738808,500.0
2844,1992,3940.0,3900.0,40.0,0.0,550.0,0.0,0.0,0.0,0.0,0.14102564102564102,550.0
2845,1993,4560.0,4510.0,50.0,0.0,920.0,0.0,0.0,0.0,0.0,0.2039911308203991,920.0
2846,1994,5300.0,5250.0,50.0,0.0,960.0,0.0,0.0,0.0,0.0,0.18285714285714286,960.0
2847,1995,5623.0,5573.0,50.0,0.0,732.0,0.0,0.0,0.0,0.0,0.1313475686344877,732.0
2848,1996,7648.0,6965.0,683.0,0.0,798.0,0.0,0.0,0.0,0.0,0.11457286432160804,798.0
2849,1997,9123.0,8515.0,608.0,0.0,901.0,0.0,0.0,0.0,0.0,0.10581327069876688,901.0
2850,1998,10898.0,10244.0,654.0,0.0,785.0,0.0,0.0,0.0,0.0,0.07663022256930886,785.0
2851,1999,10923.0,10077.0,846.0,0.0,332.0,0.0,0.0,0.0,0.0,0.03294631338692071,332.0
2852,2000,11154.0,9757.0,1397.0,0.0,449.0,0.0,0.0,0.0,0.0,0.046018243312493594,449.0
2853,2001,11430.0,10167.0,1263.0,0.0,332.0,0.0,0.0,0.0,0.0,0.03265466706009639,332.0
2854,2002,12253.0,11721.0,532.0,0.0,678.0,0.0,0.0,0.0,0.0,0.05784489378039417,678.0
2855,2003,12673.0,12673.0,0.0,0.0,1362.0,0.0,0.0,0.0,0.0,0.10747257949972382,1362.0
2856,2004,12694.0,12478.0,216.0,0.0,1120.0,0.0,0.0,0.0,0.0,0.08975797403430037,1120.0
2857,2005,12888.0,12433.0,455.0,0.0,1046.0,0.0,0.0,0.0,0.0,0.08413094184830693,1046.0
2858,2006,12539.0,11610.0,929.0,0.0,695.0,0.0,0.0,0.0,0.0,0.059862187769164514,695.0
2859,2007,13044.0,12072.0,972.0,0.0,585.0,0.0,0.0,0.0,0.0,0.04845924453280318,585.0
2860,2008,13873.0,13312.0,561.0,0.0,373.0,0.0,0.0,0.0,0.0,0.028019831730769232,373.0
2861,2009,14926.0,13771.0,1155.0,0.0,622.0,0.0,0.0,0.0,0.0,0.045167380727616,622.0
2862,2010,16957.0,15712.0,1245.0,0.0,839.0,0.0,0.0,0.0,0.0,0.05339867617107943,839.0
2863,2011,17205.0,16365.0,840.0,0.0,805.0,0.0,0.0,0.0,0.0,0.04919034524900703,805.0
2864,2012,15149.0,14826.0,323.0,0.0,1007.0,0.0,0.0,0.0,0.0,0.06792121947929314,1007.0
2865,2013,18009.0,17487.0,522.0,0.0,1269.0,0.0,0.0,0.0,0.0,0.0725681935151827,1269.0
2866,2014,18088.0,17952.0,136.0,0.0,193.0,0.0,0.0,0.0,0.0,0.010750891265597149,193.0
