,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
2867,1990,192.0,0.0,192.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
2868,1991,206.0,0.0,206.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
2869,1992,241.0,0.0,241.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
2870,1993,281.0,0.0,281.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
2871,1994,310.0,0.0,310.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
2872,1995,324.0,0.0,324.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
2873,1996,335.0,0.0,335.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
2874,1997,395.0,0.0,395.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
2875,1998,385.0,0.0,385.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
2876,1999,376.5,386.4,55.0,64.9,386.4,0.0,0.0,0.0,0.0,1.0,386.4
2877,2000,371.0,371.6,12.0,12.6,371.6,0.0,0.0,0.0,0.0,1.0,371.6
2878,2001,389.8,373.0,40.0,23.2,373.0,0.0,0.0,0.0,0.0,1.0,373.0
2879,2002,382.8,377.9,40.2,35.3,377.9,0.0,0.0,0.0,0.0,1.0,377.9
2880,2003,437.8,428.8,49.3,40.3,428.8,0.0,0.0,0.0,0.0,1.0,428.8
2881,2004,413.2,403.9,15.4,6.1,403.9,0.0,0.0,0.0,0.0,1.0,403.9
2882,2005,470.7,457.2,35.8,22.3,457.2,0.0,0.0,0.0,0.0,1.0,457.2
2883,2006,509.3,481.6,38.9,11.2,481.6,0.0,0.0,0.0,0.0,1.0,481.6
2884,2007,554.8,507.3,56.0,8.5,507.3,0.0,0.0,0.0,0.0,1.0,507.3
2885,2008,576.6,503.4,77.0,3.8,503.4,0.0,0.0,0.0,0.0,1.0,503.4
2886,2009,627.7,505.3,124.1,1.7,505.3,0.0,0.0,0.0,0.0,1.0,505.3
2887,2010,640.7,500.6,145.6,5.5,500.6,0.0,0.0,0.0,0.0,1.0,500.6
2888,2011,712.6,489.5,262.3,39.2,489.5,0.0,0.0,0.0,0.0,1.0,489.5
2889,2012,774.3,485.4,309.9,21.0,485.4,0.0,0.0,0.0,0.0,1.0,485.4
2890,2013,798.0,515.3,284.9,2.2,515.3,0.0,0.0,0.0,0.0,1.0,515.3
2891,2014,783.48,515.2,271.2,2.92,515.2,0.0,0.0,0.0,0.0,1.0,515.2
