,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
2892,1990,300.0,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2893,1991,253.0,273.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2894,1992,262.0,282.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2895,1993,260.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2896,1994,260.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2897,1995,260.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2898,1996,260.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2899,1997,274.0,294.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2900,1998,280.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2901,1999,180.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2902,2000,180.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2903,2001,180.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2904,2002,180.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2905,2003,180.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2906,2004,180.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2907,2005,180.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2908,2006,180.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2909,2007,230.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2910,2008,230.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2911,2009,230.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2912,2010,230.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2913,2011,280.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2914,2012,280.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2915,2013,280.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2916,2014,280.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
