,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
2917,1990,9007.0,10169.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2918,1991,9265.0,10460.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2919,1992,9530.0,10759.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2920,1993,10045.0,11341.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2921,1994,10353.0,11689.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2922,1995,10110.0,11415.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2923,1996,10704.0,12086.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2924,1997,11177.0,12620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2925,1998,11981.0,13528.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2926,1999,12760.0,14407.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2927,2000,13724.0,15496.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2928,2001,14269.0,16111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2929,2002,15446.0,17531.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2930,2003,16702.0,18943.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2931,2004,17812.0,20202.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2932,2005,21714.0,22317.0,152.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2933,2006,24035.0,24754.0,126.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2934,2007,25429.0,26234.0,77.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2935,2008,27828.0,28666.0,69.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2936,2009,29394.0,30373.0,95.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2937,2010,31437.0,32558.0,70.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2938,2011,24005.0,25999.0,56.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2939,2012,33228.0,34275.0,61.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2940,2013,37375.0,37913.0,64.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2941,2014,37187.0,37731.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
