,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
2950,1992,13389.0,18918.0,5338.0,10642.0,453.0,0.0,0.0,0.0,0.0,0.02394544877894069,453.0
2951,1993,9517.0,14325.0,5736.0,8467.0,562.0,0.0,0.0,0.0,0.0,0.03923211169284468,562.0
2952,1994,8955.0,10021.0,7159.0,6015.0,718.0,0.0,0.0,0.0,0.0,0.07164953597445364,718.0
2953,1995,8697.0,13898.0,5270.0,7948.0,751.0,0.0,0.0,0.0,0.0,0.05403655202187365,751.0
2954,1996,9130.0,16789.0,4182.0,9341.0,874.0,0.0,0.0,0.0,0.0,0.05205789505033057,874.0
2955,1997,9066.0,14861.0,232.0,3757.0,769.0,0.0,0.0,0.0,0.0,0.05174618127986003,769.0
2956,1998,9150.0,17631.0,384.0,6466.0,895.0,0.0,0.0,0.0,0.0,0.05076286087005842,895.0
2957,1999,8605.0,13535.0,623.0,3305.0,861.0,0.0,0.0,0.0,0.0,0.06361285555966013,861.0
2958,2000,8240.0,11424.0,143.0,1479.0,643.0,0.0,0.0,0.0,0.0,0.05628501400560224,643.0
2959,2001,8705.0,14737.0,4442.0,8406.0,701.0,0.0,0.0,0.0,0.0,0.047567347492705435,701.0
2960,2002,8993.0,17721.0,4532.0,11018.0,781.0,0.0,0.0,0.0,0.0,0.04407200496585972,781.0
2961,2003,9445.0,19488.0,4144.0,11674.0,985.0,0.0,0.0,0.0,0.0,0.05054392446633826,985.0
2962,2004,9782.0,19274.0,4293.0,11488.0,943.0,1.0,0.0,0.0,0.0,0.048977897686001866,944.0
2963,2005,10094.0,14784.0,5641.0,8607.0,820.0,2.0,0.0,0.0,0.0,0.05560064935064935,822.0
2964,2006,10388.0,12482.0,5812.0,6240.0,802.0,14.0,0.0,0.0,0.0,0.06537413875981413,816.0
2965,2007,10756.0,14007.0,5846.0,7218.0,958.0,106.0,0.0,0.0,0.0,0.07596201899050475,1064.0
2966,2008,11015.0,13913.0,5649.0,6606.0,988.0,131.0,0.0,0.0,0.0,0.08042837633867606,1119.0
2967,2009,10223.0,15358.0,4783.0,7715.0,1139.0,158.0,0.0,0.0,0.0,0.0844511004036984,1297.0
2968,2010,10312.0,5749.0,8174.0,2184.0,1295.0,224.0,0.0,0.0,0.0,0.2642198643242303,1519.0
2969,2011,10415.0,4822.0,8086.0,1347.0,1056.0,475.0,0.0,0.0,0.0,0.31750311074243054,1531.0
2970,2012,10607.0,5043.0,8060.0,1441.0,937.0,540.0,2.0,0.0,0.0,0.29327781082688875,1479.0
2971,2013,10642.0,4762.0,8073.0,1127.0,1069.0,603.0,45.0,0.0,0.0,0.3605627887442251,1717.0
2972,2014,10824.0,4397.0,8521.0,898.0,1088.0,639.0,73.0,0.0,0.0,0.4093700250170571,1800.0
