,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
2973,1990,4217.0,1377.0,4678.0,746.0,823.0,0.0,0.0,0.0,0.0,0.5976761074800291,823.0
2974,1991,4329.0,1415.0,4853.0,707.0,798.0,0.0,0.0,0.0,0.0,0.5639575971731449,798.0
2975,1992,4356.0,1198.0,4511.0,533.0,608.0,0.0,0.0,0.0,0.0,0.5075125208681135,608.0
2976,1993,4473.0,1067.0,4445.0,394.0,463.0,0.0,0.0,0.0,0.0,0.4339268978444236,463.0
2977,1994,4729.0,1147.0,5019.0,564.0,656.0,0.0,0.0,0.0,0.0,0.5719267654751525,656.0
2978,1995,5131.0,1230.0,5746.0,743.0,831.0,0.0,0.0,0.0,0.0,0.675609756097561,831.0
2979,1996,5003.0,1256.0,5712.0,808.0,876.0,0.0,0.0,0.0,0.0,0.697452229299363,876.0
2980,1997,5241.0,1260.0,6032.0,846.0,937.0,3.0,0.0,0.0,0.0,0.746031746031746,940.0
2981,1998,5449.0,1295.0,6338.0,924.0,1044.0,11.0,0.0,0.0,0.0,0.8146718146718147,1055.0
2982,1999,5649.0,1022.0,6212.0,655.0,747.0,18.0,0.0,0.0,0.0,0.7485322896281801,765.0
2983,2000,5830.0,1169.0,6445.0,737.0,871.0,27.0,0.0,0.0,0.0,0.7681779298545766,898.0
2984,2001,5882.0,1620.0,6383.0,1067.0,871.0,24.0,0.0,0.0,0.0,0.5524691358024691,895.0
2985,2002,5959.0,3697.0,6414.0,2940.0,988.0,24.0,0.0,0.0,0.0,0.2737354611847444,1012.0
2986,2003,6214.0,3621.0,6562.0,2799.0,911.0,26.0,1.0,0.0,0.0,0.25904446285556476,938.0
2987,2004,6421.0,4132.0,6506.0,3132.0,854.0,39.0,9.0,0.0,0.0,0.21829622458857695,902.0
2988,2005,6263.0,4132.0,6392.0,3131.0,878.0,52.0,18.0,0.0,0.0,0.22942884801548888,948.0
2989,2006,6719.0,4335.0,6824.0,3267.0,917.0,58.0,21.0,0.0,0.0,0.22975778546712802,996.0
2990,2007,6798.0,4003.0,6847.0,2887.0,919.0,64.0,21.0,0.0,0.0,0.2508118910816887,1004.0
2991,2008,6704.0,3559.0,6830.0,2484.0,965.0,61.0,20.0,0.0,0.0,0.29390278168024725,1046.0
2992,2009,6225.0,3879.0,6022.0,2604.0,833.0,63.0,20.0,0.0,0.0,0.23614333591131734,916.0
2993,2010,6710.0,4590.0,7280.0,3216.0,1468.0,55.0,21.0,0.0,0.0,0.3363834422657952,1544.0
2994,2011,6647.0,3718.0,7096.0,2614.0,1130.0,64.0,26.0,0.0,0.0,0.328133405056482,1220.0
2995,2012,6379.0,3818.0,6732.0,2622.0,1160.0,77.0,38.0,0.0,0.0,0.33394447354635937,1275.0
2996,2013,6336.0,2888.0,6852.0,1907.0,1158.0,83.0,74.0,0.0,0.0,0.4553324099722992,1315.0
2997,2014,6336.0,2967.0,6961.0,2067.0,1169.0,80.0,95.0,0.0,0.0,0.4529828109201213,1344.0
