,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
2998,1990,574.0936,592.0936,0.0,0.0,341.3384,0.0,0.0,0.0,0.0,0.5764939867615525,341.3384
2999,1991,568.9175,586.9175,0.0,0.0,335.5091,0.0,0.0,0.0,0.0,0.5716461001759191,335.5091
3000,1992,595.3330000000001,620.3330000000001,0.0,0.0,335.2674,0.0,0.0,0.0,0.0,0.5404635897171357,335.2674
3001,1993,617.4832,645.4832,0.0,0.0,383.4206,0.0,0.0,0.0,0.0,0.5940055449932701,383.4206
3002,1994,631.0727,660.0727,0.0,0.0,389.2227,0.0,0.0,0.0,0.0,0.5896664109877593,389.2227
3003,1995,632.0226,662.0226,0.0,0.0,410.7864,0.0,0.0,0.0,0.0,0.6205020795362576,410.7864
3004,1996,651.2143,681.2143,0.0,0.0,442.4358,0.0,0.0,0.0,0.0,0.6494810810636241,442.4358
3005,1997,704.3105,734.3105,0.0,0.0,488.7175,0.0,0.0,0.0,0.0,0.6655461143480856,488.7175
3006,1998,754.4201,784.4201,0.0,0.0,510.6458,0.0,0.0,0.0,0.0,0.6509851035178726,510.6458
3007,1999,803.2945,833.2945,0.0,0.0,515.3744,0.0,0.0,0.0,0.0,0.6184781010795104,515.3744
3008,2000,857.8467,882.8467,0.0,0.0,539.6487,0.0,0.0,0.0,0.0,0.6112598030892565,539.6487
3009,2001,915.9388,945.9388,0.0,0.0,563.9627,0.0,0.0,0.0,0.0,0.5961936438171265,563.9627
3010,2002,858.0011,888.0011,0.0,0.0,535.4031,0.0,0.0,0.0,0.0,0.6029306720453387,535.4031
3011,2003,993.5039999999999,1023.5039999999999,0.0,0.0,611.673,0.0,0.0,0.0,0.0,0.5976263893448389,611.673
3012,2004,1099.753,1134.753,0.0,0.0,638.095,0.0,0.0,0.0,0.0,0.5623206107408397,638.095
3013,2005,1113.6963,1148.6963,0.0,0.0,647.9033,0.0,0.0,0.0,0.0,0.5640335918205708,647.9033
3014,2006,1138.6578,1173.6578,0.0,0.0,637.9218,0.0,0.0,0.0,0.0,0.543533046855736,637.9218
3015,2007,1186.8944,1221.8944,0.0,0.0,719.0824,0.0,0.0,0.0,0.0,0.5884979913157798,719.0824
3016,2008,1260.5621,1274.3201,0.0,0.0,700.115,0.0,0.0071,0.0,0.0,0.5494083472433654,700.1221
3017,2009,1255.51,1273.808,0.0,0.0,740.9789999999999,0.0,0.006,0.0,0.0,0.5817085463429339,740.9849999999999
3018,2010,1340.36,1359.8029999999999,0.0,0.0,710.96,0.0,0.008,0.0,0.0,0.522846324063118,710.9680000000001
3019,2011,1417.0,1437.646,0.0,0.0,690.336,0.0,0.008,0.0,0.0,0.48019053369188247,690.344
3020,2012,1497.0,1520.16,0.0,0.0,755.352,0.0,0.008,0.0,0.0,0.49689506367750763,755.36
3021,2013,1570.0,1594.39,0.0,0.0,808.993,0.0,1.0,0.0,0.0,0.5080268942981329,809.993
3022,2014,1633.5,1658.5,0.0,0.0,883.56,0.0,1.0,0.0,0.0,0.5333494121193849,884.56
