,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
3023,1990,715.0,718.0,0.0,0.0,704.0,0.0,0.0,0.0,0.0,0.9805013927576601,704.0
3024,1991,763.0,766.0,0.0,0.0,751.0,0.0,0.0,0.0,0.0,0.9804177545691906,751.0
3025,1992,789.3,793.0,0.0,0.7,777.0,0.0,0.0,0.0,0.0,0.9798234552332913,777.0
3026,1993,879.2,921.0,0.0,0.8,777.0,0.0,0.0,0.0,0.0,0.8436482084690554,777.0
3027,1994,902.0,953.0,0.0,1.0,802.0,0.0,0.0,0.0,0.0,0.8415529905561385,802.0
3028,1995,888.8,940.0,0.0,1.2,792.0,0.0,0.0,0.0,0.0,0.8425531914893617,792.0
3029,1996,930.9,987.0,0.0,2.1,805.0,0.0,0.0,0.0,0.0,0.8156028368794326,805.0
3030,1997,1024.4,1086.0,0.0,2.6,896.0,0.0,0.0,0.0,0.0,0.8250460405156538,896.0
3031,1998,1078.3,1149.0,0.0,8.7,948.0,0.0,0.0,0.0,0.0,0.825065274151436,948.0
3032,1999,1118.3,1184.0,0.0,2.7,977.0,0.0,0.0,0.0,0.0,0.825168918918919,977.0
3033,2000,1157.7,1226.0,0.0,3.3,1033.0,0.0,0.0,0.0,0.0,0.8425774877650897,1033.0
3034,2001,1179.0,1250.4,0.0,6.0,1074.8,0.0,0.0,0.0,0.0,0.8595649392194497,1074.8
3035,2002,1233.5,1306.3,0.0,6.5,1123.0,0.0,0.0,0.0,0.0,0.859680012248335,1123.0
3036,2003,1261.3,1335.1,0.0,6.7,1166.0,0.0,0.0,0.0,0.0,0.8733428207624898,1166.0
3037,2004,1393.5,1474.5,0.0,7.5,1267.3,0.0,0.0,0.0,0.0,0.8594777890810444,1267.3
3038,2005,1458.0,1543.9,0.0,10.0,1324.5,0.0,0.0,0.0,0.0,0.8578923505408381,1324.5
3039,2006,1494.1,1582.1,0.0,10.9,1356.6,0.0,0.0,0.0,0.0,0.8574679223816446,1356.6
3040,2007,1520.1,1616.8,0.0,16.9,1403.2,0.0,0.0,0.0,0.0,0.867887184562098,1403.2
3041,2008,1689.1,1797.14,0.0,19.9,1615.13,0.0,0.0,0.0,0.0,0.8987224145030437,1615.13
3042,2009,1836.7,1944.14,0.0,16.3,1763.13,0.0,0.0,0.0,0.0,0.9068945652062095,1763.13
3043,2010,1906.5,2023.64,0.0,20.5,1842.63,0.0,0.0,0.0,0.0,0.9105522721432666,1842.63
3044,2011,1864.0,1978.61,0.0,20.0,1797.6,0.0,0.0,0.0,0.0,0.9085165848752407,1797.6
3045,2012,1908.1,2026.51,0.0,17.9,1845.5,0.0,0.0,0.0,0.0,0.910678950510977,1845.5
3046,2013,1977.1,2097.51,0.0,17.9,1916.5,0.0,0.0,0.0,0.0,0.9137024376522638,1916.5
3047,2014,1977.1,2097.51,0.0,17.9,1916.5,0.0,0.0,0.0,0.0,0.9137024376522638,1916.5
