,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
3048,1990,24153.0,25263.0,104.0,162.0,3982.0,0.0,0.0,0.0,0.0,0.15762181846969878,3982.0
3049,1991,27205.0,28335.0,128.0,151.0,4444.0,0.0,0.0,0.0,0.0,0.15683783306864302,4444.0
3050,1992,30671.0,31887.0,159.0,175.0,4357.0,0.0,0.0,0.0,0.0,0.13663875560573274,4357.0
3051,1993,34303.0,35579.0,128.0,104.0,4925.0,0.0,0.0,0.0,0.0,0.1384243514432671,4925.0
3052,1994,38704.0,40058.0,197.0,151.0,6521.0,0.0,0.0,0.0,0.0,0.16278895601378002,6521.0
3053,1995,45083.0,46656.0,2.0,25.0,6166.0,0.0,0.0,0.0,0.0,0.1321587791495199,6166.0
3054,1996,51361.0,53000.0,0.0,14.0,5139.0,0.0,0.0,0.0,0.0,0.0969622641509434,5139.0
3055,1997,57048.0,58675.0,0.0,37.0,5400.0,0.0,0.0,0.0,0.0,0.09203238176395398,5400.0
3056,1998,58844.0,60671.0,1.0,8.0,4852.0,0.0,0.0,0.0,0.0,0.0799723096701884,4852.0
3057,1999,61933.0,65189.0,0.0,0.0,7523.0,0.0,0.0,0.0,0.0,0.11540290539815,7523.0
3058,2000,66570.0,69210.0,0.0,0.0,7414.0,0.0,0.0,0.0,0.0,0.10712324808553678,7414.0
3059,2001,67221.0,71384.0,0.0,0.0,6435.0,0.0,0.0,0.0,0.0,0.09014625126078674,6435.0
3060,2002,71870.0,74196.0,0.0,0.0,5301.0,0.0,0.0,0.0,0.0,0.07144590004852014,5301.0
3061,2003,77008.0,78427.0,0.0,0.0,5750.0,0.0,0.0,0.0,0.0,0.07331658739974753,5750.0
3062,2004,93377.27,94835.77,0.0,0.0,5926.3,0.0,0.0,0.0,0.0,0.06249013426052216,5926.3
3063,2005,97164.06,100897.66,0.0,1854.5,6600.9,0.0,0.0,0.0,0.0,0.06542173525134279,6600.9
3064,2006,102101.7,106701.5,0.1,2665.7,6779.1,0.0,0.0,0.0,0.0,0.06353331490185236,6779.1
3065,2007,100669.5,104950.0,0.0,2260.3,7010.8,0.0,0.0,0.0,0.0,0.06680133396855646,7010.8
3066,2008,104454.0,106926.9,0.1,469.4,7190.2,0.0,0.0,0.0,0.0,0.06724407048179644,7190.2
3067,2009,105110.1,107115.8,0.0,91.8,6625.1,0.0,0.0,0.0,0.0,0.06184988582450022,6625.1
3068,2010,114768.88,116808.281,0.1,147.6,6251.3,0.0,0.6809999999999999,0.0,0.0,0.05352343983214683,6251.981
3069,2011,112474.68,124893.681,370.0,10.0,7624.0,0.0,0.6809999999999999,0.0,0.0,0.061049373666871104,7624.681
3070,2012,122962.74,134420.74300000002,100.0,15.0,9054.0,0.0,47.743,0.0,0.0,0.06771085173960092,9101.743
3071,2013,127163.0,138331.0,221.0,23.0,10586.0,0.0,141.0,0.0,0.0,0.07754588631615474,10727.0
3072,2014,131887.0,147461.0,23.0,12.0,13388.0,0.0,227.0,0.0,0.0,0.0923294972908091,13615.0
