,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
3073,1990,29.5,29.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3074,1991,28.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3075,1992,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3076,1993,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3077,1994,46.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3078,1995,57.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3079,1996,63.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3080,1997,71.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3081,1998,81.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3082,1999,93.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3083,2000,104.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3084,2001,116.5,116.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3085,2002,130.3,130.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3086,2003,141.0,141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3087,2004,157.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3088,2005,177.0,185.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3089,2006,203.0,212.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3090,2007,236.0,245.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3091,2008,270.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3092,2009,288.4,298.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3093,2010,246.8,256.61,0.0,0.0,0.0,0.0,0.81,0.0,0.0,0.00315654105451853,0.81
3094,2011,264.7,274.62,0.0,0.0,0.0,0.0,0.92,0.0,0.0,0.0033500837520938024,0.92
3095,2012,287.2,299.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.006020066889632107,1.8
3096,2013,289.867,304.867,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.006560237743015807,2.0
3097,2014,310.91,328.91,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.00608069076647107,2.0
