,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
3098,1990,244.0,247.0,0.0,0.0,183.0,0.0,0.0,0.0,0.0,0.7408906882591093,183.0
3099,1991,253.0,256.0,0.0,0.0,184.0,0.0,0.0,0.0,0.0,0.71875,184.0
3100,1992,274.0,277.0,0.0,0.0,210.0,0.0,0.0,0.0,0.0,0.7581227436823105,210.0
3101,1993,291.0,299.0,0.0,0.0,220.0,0.0,0.0,0.0,0.0,0.7357859531772575,220.0
3102,1994,268.0,276.0,0.0,0.0,217.0,0.0,0.0,0.0,0.0,0.7862318840579711,217.0
3103,1995,304.0,312.0,0.0,0.0,225.0,0.0,0.0,0.0,0.0,0.7211538461538461,225.0
3104,1996,327.0,335.0,0.0,0.0,212.0,0.0,0.0,0.0,0.0,0.6328358208955224,212.0
3105,1997,383.0,391.0,0.0,0.0,229.0,0.0,0.0,0.0,0.0,0.5856777493606138,229.0
3106,1998,723.0,723.0,0.0,0.0,231.0,0.0,0.0,0.0,0.0,0.31950207468879666,231.0
3107,1999,756.0,756.0,0.0,0.0,232.0,0.0,0.0,0.0,0.0,0.30687830687830686,232.0
3108,2000,807.0,807.0,0.0,0.0,245.0,0.0,0.0,0.0,0.0,0.30359355638166047,245.0
3109,2001,925.0,925.0,0.0,0.0,360.0,0.0,0.0,0.0,0.0,0.3891891891891892,360.0
3110,2002,864.9,1063.0,0.0,198.1,480.0,0.0,0.0,0.0,0.0,0.451552210724365,480.0
3111,2003,808.8,1223.0,0.0,414.2,630.0,0.0,0.0,0.0,0.0,0.5151267375306623,630.0
3112,2004,881.0,1243.0,0.0,362.0,640.0,0.0,0.0,0.0,0.0,0.5148833467417538,640.0
3113,2005,870.5,1271.0,0.0,400.5,643.0,0.0,0.0,0.0,0.0,0.5059008654602675,643.0
3114,2006,974.0,1333.0,0.0,359.0,650.0,0.0,0.0,0.0,0.0,0.4876219054763691,650.0
3115,2007,1146.0,1409.0,0.0,263.0,658.0,0.0,0.0,0.0,0.0,0.46699787083037614,658.0
3116,2008,1148.0,1481.0,0.0,333.0,666.0,0.0,0.0,0.0,0.0,0.44969615124915596,666.0
3117,2009,827.01,1174.51,0.0,347.5,851.06,0.0,0.0,0.0,0.0,0.7246085601655158,851.06
3118,2010,924.02,1292.02,0.0,368.0,695.05,0.0,0.0,0.0,0.0,0.5379560687915047,695.05
3119,2011,1013.43,1381.43,0.0,368.0,727.01,0.0,0.0,0.0,0.0,0.5262734992001042,727.01
3120,2012,994.5,1362.5,0.0,368.0,783.34,0.0,0.0,0.0,0.0,0.5749284403669725,783.34
3121,2013,1209.94,1509.94,0.0,300.0,978.34,0.0,0.0,0.0,0.0,0.6479330304515412,978.34
3122,2014,1379.37,1679.37,0.0,300.0,720.02,0.0,0.0,0.0,0.0,0.42874411237547416,720.02
