,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
3123,1990,1187.0,1279.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3124,1991,1342.0,1440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3125,1992,1360.0,1464.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3126,1993,1388.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3127,1994,1436.0,1542.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3128,1995,1520.0,1632.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3129,1996,1554.0,1657.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3130,1997,1579.0,1685.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3131,1998,1612.0,1721.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3132,1999,1743.0,1854.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3133,2000,1802.0,1917.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3134,2001,1825.0,1943.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3135,2002,1927.0,2052.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3136,2003,2100.0,2236.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3137,2004,2081.0,2216.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3138,2005,2214.0,2240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3139,2006,2129.0,2261.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3140,2007,2165.0,2296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3141,2008,2185.0,2312.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3142,2009,2046.0,2168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3143,2010,1993.0,2116.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0004725897920604915,1.0
3144,2011,2053.0,2187.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.00594421582075903,13.0
3145,2012,2172.0,2307.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.013003901170351105,30.0
3146,2013,2137.0,2251.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.01288316303864949,29.0
3147,2014,2137.0,2245.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.030289532293986638,68.0
