,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
3148,1992,65.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3149,1993,70.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3150,1994,74.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3151,1995,78.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3152,1996,79.2,79.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3153,1997,78.6,78.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3154,1998,81.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3155,1999,79.6,79.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3156,2000,87.7,87.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3157,2001,91.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3158,2002,99.4,99.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3159,2003,96.4,96.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3160,2004,101.3,101.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3161,2005,100.5,100.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3162,2006,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3163,2007,95.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3164,2008,92.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3165,2009,93.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3166,2010,92.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3167,2011,79.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3168,2012,77.7,77.7,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.002574002574002574,0.2
3169,2013,83.6,83.6,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.002392344497607656,0.2
3170,2014,85.2,85.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.002347417840375587,0.2
