,year,demand,production,imports,exports,hydro,wind,solar,geothermal,tide,renewable_percent,renewable_total
3171,1990,722.0,747.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3172,1991,716.0,738.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3173,1992,762.0,789.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3174,1993,818.0,852.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3175,1994,865.0,903.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3176,1995,938.0,976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3177,1996,981.0,1019.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3178,1997,1040.774,1078.774,0.0,0.0,0.0,0.0,0.774,0.0,0.0,0.0007174811406281576,0.774
3179,1998,1043.605,1081.605,0.0,0.0,0.0,0.0,1.605,0.0,0.0,0.0014839058621215692,1.605
3180,1999,1096.297,1134.297,0.0,0.0,0.006,0.0,22.291,0.0,0.0,0.019657109205084736,22.297
3181,2000,1102.9389999999999,1140.9389999999999,0.0,0.0,0.032,0.0,25.906999999999996,0.0,0.0,0.0227347824905626,25.938999999999997
3182,2001,1269.0,1309.0,0.0,0.0,0.057999999999999996,0.0,29.523000000000003,0.0,0.0,0.02259816653934301,29.581000000000003
3183,2002,1306.0,1346.0,0.0,0.0,0.057999999999999996,0.0,32.965,0.0,0.0,0.024534175334323925,33.023
3184,2003,1356.0,1397.0,0.0,0.0,0.057999999999999996,0.0,28.326,0.0,0.0,0.02031782390837509,28.384
3185,2004,1400.0,1442.0,0.0,0.0,0.057999999999999996,0.0,31.064,0.0,0.0,0.02158252427184466,31.122
3186,2005,1468.0,1510.0,0.0,0.0,0.057999999999999996,1.0,33.802,0.0,0.0,0.023086092715231786,34.86
3187,2006,1511.0,1553.0,0.0,0.0,0.057999999999999996,1.0,33.012,0.0,0.0,0.02193818415969092,34.07
3188,2007,1559.866,1631.866,0.0,0.0,0.057999999999999996,1.453,35.105,0.0,0.0,0.022438116855182964,36.616
3189,2008,1604.3210000000001,1682.066,0.0,0.0,0.0,1.3019999999999998,39.5,0.0,0.0,0.024257074335965412,40.802
3190,2009,1653.07,1732.266,0.0,0.0,0.0,1.5290000000000001,45.292,0.0,0.0,0.027028758862668898,46.821000000000005
3191,2010,1617.0,1808.365,0.0,0.0,0.0,1.665,42.9,0.0,0.0,0.02464380808078015,44.565
3192,2011,1576.0,1764.4029999999998,0.0,0.0,0.0,1.665,42.9,0.0,0.0,0.02525783508642867,44.565
3193,2012,1591.0,1780.487,0.0,0.0,0.0,1.665,42.9,0.0,0.0,0.02502966884902838,44.565
3194,2013,1577.0,1764.463,0.0,0.0,0.0,1.665,44.0,0.0,0.0,0.025880395338411744,45.665
3195,2014,1562.0,1764.463,0.0,0.0,0.0,1.665,44.0,0.0,0.0,0.025880395338411744,45.665
